Name	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM
XM_015809946.1	5414	0.0814011	5414	0.0512179	5414	0	5414	0.0431867	5414	0	5414	0	5414	0	5414	0	5414	0	5414	23.2641	5414	0	5414	0	5414	0	5414	8.21194
XM_015809947.1	789	0	789	0	789	0	789	0	789	0	789	0	789	0	789	0	789	0	789	16.2356	789	0	789	0	789	0	789	0
XM_015809948.1	1179	0	1179	0	1179	0.103525	1179	1.01001	1179	0.475421	1179	0	1179	0	1179	0.646595	1179	5.71734	1179	0.995037	1179	2.54705	1179	0	1179	1.44112	1179	2.77573
XM_015809949.1	1516	7.26349	1516	1.45521	1516	3.65217	1516	1.5984	1516	0.654565	1516	0	1516	0.715155	1516	1.62726	1516	6.00677	1516	19.7678	1516	0.910926	1516	1.01654	1516	0.931472	1516	1.57085
XM_015809950.1	1684	111.462	1684	52.8515	1684	61.4415	1684	55.1961	1684	71.9914	1684	9.32893	1684	18.9405	1684	14.7914	1684	85.7402	1684	8.73126	1684	12.4474	1684	5.25798	1684	10.5101	1684	28.9252
XM_015809951.1	1405	99.9813	1405	235.426	1405	160.073	1405	342.491	1405	412.615	1405	125.055	1405	183.56	1405	107.173	1405	173.194	1405	294.503	1405	124.23	1405	120.024	1405	147.134	1405	146.902
XM_015809952.1	1426	1.08298e-07	1426	2.93392e-06	1426	1.39131e-06	1426	1.16223e-06	1426	4.06596e-07	1426	7.72169e-07	1426	3.24793e-07	1426	8.91481e-07	1426	1.86219e-07	1426	1.42193e-06	1426	2.07606e-07	1426	3.01871e-06	1426	4.39277e-08	1426	2.54082e-07
XM_015809953.1	510	335.752	510	671.34	510	798.416	510	1364.02	510	1851.97	510	255.917	510	578.211	510	316.293	510	672.688	510	126.711	510	401.307	510	258.285	510	339.969	510	810.365
XM_015809954.1	510	335.737	510	671.335	510	798.472	510	1364	510	1851.97	510	255.917	510	578.199	510	316.264	510	672.653	510	126.708	510	401.302	510	258.283	510	339.975	510	810.328
XM_015809955.1	1348	0.0901377	1348	0.0754987	1348	0	1348	0.384495	1348	0.679397	1348	2.78178	1348	0.14817	1348	0.370732	1348	0.537607	1348	0	1348	1.03765	1348	0	1348	1.06162	1348	1.59097
XM_015809956.1	2492	6.37462e-06	2492	0	2492	4.87499e-06	2492	0.000229344	2492	4.8972e-05	2492	3.26576e-05	2492	8.15633e-06	2492	1.00685e-05	2492	2.72184e-05	2492	0.000431767	2492	2.35074e-05	2492	0	2492	0	2492	0.00054965
XM_015809957.1	2492	6.37449e-06	2492	0	2492	4.87499e-06	2492	0.000229338	2492	4.8972e-05	2492	3.26576e-05	2492	8.15633e-06	2492	1.00685e-05	2492	2.72184e-05	2492	0.00043176	2492	2.35074e-05	2492	0	2492	0	2492	0.000549933
XM_015809958.1	2470	0.731358	2470	0	2470	0.146445	2470	18.7155	2470	4.35441	2470	1.61283	2470	0.631589	2470	0.388734	2470	2.51769	2470	22.8308	2470	2.12406	2470	0	2470	0	2470	52.2422
XM_015809959.1	2473	0.148367	2473	0	2473	0.0356917	2473	3.97509	2473	0.914588	2473	0.367255	2473	0.135221	2473	0.0915484	2473	0.525895	2473	5.14909	2473	0.445242	2473	0	2473	0	2473	10.8728
XM_015809960.1	816	6.04779	816	0.956974	816	3.06301	816	7.88547	816	6.53215	816	0	816	2.38889	816	4.63837	816	17.3673	816	10.2708	816	4.32725	816	20.1461	816	3.80788	816	4.628
XM_015809961.1	3284	78.674	3284	1.20593	3284	10.3006	3284	13.4544	3284	7.48215	3284	19.1195	3284	16.3066	3284	20.293	3284	42.117	3284	24.4036	3284	11.2054	3284	6.5184	3284	11.3883	3284	30.3662
XM_015809962.1	1832	16.0662	1832	34.2258	1832	22.2312	1832	35.1558	1832	26.6777	1832	48.5906	1832	26.422	1832	30.1702	1832	19.5404	1832	34.6472	1832	25.2682	1832	13.408	1832	17.2832	1832	66.9699
XM_015809963.1	2080	2.67508	2080	1.16792	2080	3.28939	2080	2.37141	2080	5.37625	2080	33.8853	2080	8.84642	2080	15.6951	2080	32.6244	2080	18.7329	2080	6.46046	2080	5.48964	2080	4.39922	2080	12.1246
XM_015809964.1	2158	12.0493	2158	2.73847	2158	4.741	2158	3.13275	2158	9.68641	2158	54.0581	2158	21.2596	2158	30.6204	2158	42.0297	2158	24.574	2158	24.7048	2158	16.3907	2158	21.0378	2158	29.4949
XM_015809965.1	1361	52.7828	1361	24.869	1361	22.9091	1361	123.407	1361	18.7496	1361	95.3397	1361	64.4252	1361	54.6507	1361	47.5296	1361	40.2751	1361	22.8134	1361	19.9174	1361	32.3833	1361	100.539
XM_015809966.1	1039	89.6031	1039	63.9763	1039	90.4375	1039	111.148	1039	71.6782	1039	222.139	1039	107.533	1039	162.672	1039	183.244	1039	372.058	1039	114.501	1039	145.152	1039	126.451	1039	236.693
XM_015809967.1	1344	1.24387	1344	0	1344	0.356159	1344	0.361322	1344	1.19454	1344	1.47871	1344	1.33494	1344	0.185982	1344	0.413919	1344	0	1344	0.796894	1344	1.62501	1344	0.676526	1344	2.39441
XM_015809968.1	977	0	977	0	977	9149.66	977	0	977	0	977	0	977	0	977	0	977	0	977	0	977	0	977	0	977	7.56847e-07	977	4.17129e-09
XM_015809969.1	1942	12.3854	1942	3.99298	1942	0	1942	30.0055	1942	81.8404	1942	193.286	1942	120.661	1942	141.872	1942	43.0297	1942	78.7582	1942	57.4241	1942	53.7942	1942	56.7891	1942	151.365
XM_015809970.1	1931	16.896	1931	12.4445	1931	1524.21	1931	58.7455	1931	8.66384	1931	0	1931	0	1931	0	1931	0	1931	0	1931	0	1931	0	1931	6.77095	1931	1.91768
XM_015809971.1	978	5.78246	978	4.92949	978	45.961	978	12.3095	978	15.3587	978	99.009	978	51.4255	978	48.4071	978	45.7393	978	32.6377	978	40.7137	978	0	978	47.7056	978	95.3897
XM_015809972.1	2249	16.4407	2249	9.23157	2249	47.9093	2249	39.3244	2249	3.82137	2249	13.41	2249	21.6966	2249	26.8573	2249	22.3764	2249	15.7611	2249	27.2042	2249	13.2935	2249	17.2956	2249	15.7033
XM_015809973.1	2809	34.4847	2809	2.64115	2809	11.7141	2809	18.6222	2809	5.35595	2809	27.3456	2809	15.2297	2809	22.0599	2809	79.3509	2809	30.4839	2809	20.1911	2809	15.8751	2809	17.4132	2809	29.0346
XM_015809974.1	2210	56.2636	2210	1.61891	2210	5.49322	2210	10.4354	2210	2.04542	2210	1.18787	2210	3.84267	2210	3.02836	2210	13.4081	2210	22.8306	2210	3.90188	2210	0.948005	2210	2.78247	2210	12.4055
XM_015809975.1	3269	30.8922	3269	7.64555	3269	19.0433	3269	34.895	3269	13.1181	3269	40.7857	3269	47.87	3269	60.7415	3269	36.7665	3269	52.3651	3269	38.717	3269	23.5067	3269	36.3043	3269	64.1671
XM_015809976.1	1926	16.9672	1926	0.507902	1926	1.72889	1926	4.70736	1926	4.20165	1926	22.3418	1926	5.70646	1926	8.77513	1926	7.46403	1926	3.19619	1926	7.32954	1926	2.35291	1926	5.01874	1926	13.7094
XM_015809977.1	3595	0.124536	3595	0.156679	3595	1.13257	3595	1.75225	3595	0	3595	1.78537	3595	0.0258486	3595	0	3595	4.23559	3595	4.36732	3595	0.0403028	3595	11.9475	3595	1.11016	3595	1.04135
XM_015809978.1	1115	22.9976	1115	2625.44	1115	175.249	1115	72.613	1115	62.9139	1115	36.2189	1115	29.3953	1115	38.3577	1115	45.9553	1115	30.9964	1115	78.2865	1115	9.15807	1115	35.7731	1115	79.1394
XM_015809979.1	489	0.979785	489	1.36152	489	1.93884	489	25.846	489	0.492847	489	0	489	3.87507	489	7.70462	489	46.7534	489	29.0777	489	2.79413	489	3.93457	489	1.85782	489	11.7609
XM_015809980.1	2509	3.27906	2509	24.1712	2509	6.00192	2509	42.3602	2509	6.69287	2509	7.01373	2509	5.95939	2509	8.78869	2509	14.2887	2509	6.69019	2509	12.5205	2509	10.6559	2509	12.9624	2509	5.26697
XM_015809981.1	3651	37.4045	3651	1.02777	3651	6.29473	3651	0.845768	3651	1.38517	3651	4.65616	3651	2.11118	3651	4.33565	3651	11.8161	3651	12.1525	3651	4.44191	3651	0.399912	3651	3.52004	3651	12.365
XM_015809982.1	4220	1.31693	4220	1.23723	4220	3.0553	4220	1.56572	4220	2.26273	4220	5.90099	4220	4.31138	4220	10.3149	4220	14.0207	4220	0.382749	4220	10.8187	4220	7.71138	4220	6.99677	4220	9.69887
XM_015809983.1	1673	6.29637	1673	0.177848	1673	0.97464	1673	1.73279	1673	1.54629	1673	1.39927	1673	0.816744	1673	5.55008	1673	10.7161	1673	4.90408	1673	2.81621	1673	0	1673	1.67145	1673	3.28922
XM_015809984.1	3191	177.918	3191	5.32684	3191	12.6642	3191	14.3559	3191	7.7917	3191	31.4173	3191	17.6533	3191	27.2218	3191	18.2758	3191	7.15995	3191	9.53881	3191	6.90055	3191	6.21733	3191	16.1181
XM_015809985.1	2272	8.81462	2272	21.8296	2272	44.3967	2272	17.0229	2272	23.6708	2272	27.11	2272	33.2411	2272	29.5077	2272	34.202	2272	22.6569	2272	44.4157	2272	31.9562	2272	45.8228	2272	23.3005
XM_015809986.1	1352	0	1352	0	1352	0	1352	0	1352	0	1352	0	1352	0	1352	0	1352	0	1352	116.952	1352	0	1352	0	1352	0	1352	0
XM_015809987.1	1191	111.398	1191	36.176	1191	34.2436	1191	44.4461	1191	4.66803	1191	67.7697	1191	49.6239	1191	67.9474	1191	2.63387e-06	1191	0.0133045	1191	28.1341	1191	110.781	1191	56.9681	1191	56.6435
XM_015809988.1	1323	27.6238	1323	32.2368	1323	13.0542	1323	440.757	1323	27.2756	1323	4.38861	1323	14.6772	1323	13.6285	1323	115.113	1323	89.7455	1323	11.7732	1323	5.90589	1323	7.22777	1323	214.661
XM_015809989.1	1659	233.431	1659	2.03443	1659	6.53505	1659	4.48678	1659	6.13539	1659	32.0729	1659	15.3671	1659	46.8736	1659	26.4274	1659	32.9364	1659	44.0996	1659	18.4277	1659	27.834	1659	28.2956
XM_015809990.1	6912	2.51757	6912	1.26207	6912	5.07318	6912	3.89657	6912	3.72275	6912	8.72093	6912	7.14377	6912	11.4037	6912	11.0501	6912	12.8873	6912	12.6449	6912	6.68418	6912	9.84104	6912	10.5151
XM_015809991.1	1067	0.236272	1067	0.197772	1067	11.5212	1067	9.72011	1067	1.33575	1067	58.0724	1067	13.6258	1067	27.5409	1067	335.675	1067	30.6351	1067	7.21243	1067	7.22092	1067	6.00341	1067	58.8716
XM_015809992.1	259	0	259	0	259	0	259	0	259	0	259	0	259	0	259	0	259	0	259	0	259	0	259	0	259	0	259	0
XM_015809993.1	1272	4.14138	1272	2.25843	1272	2.08625	1272	5.95966	1272	3.41193	1272	12.4017	1272	2.76766	1272	3.36288	1272	12.7057	1272	3.65596	1272	9.96609	1272	1.48079	1272	9.82155	1272	7.42903
XM_015809994.1	2811	76.1399	2811	4.02641	2811	5.59471	2811	11.748	2811	6.72028	2811	24.0969	2811	9.96716	2811	14.7514	2811	9.49684	2811	11.5811	2811	41.134	2811	31.0962	2811	29.2131	2811	41.6779
XM_015809995.1	1176	55.1412	1176	17.6557	1176	44.7515	1176	96.5747	1176	37.6694	1176	152.963	1176	74.0716	1176	94.2441	1176	107.536	1176	84.0724	1176	82.6829	1176	75.9929	1176	101.792	1176	37.1172
XM_015809996.1	2550	4.87889	2550	21.73	2550	165.957	2550	45.3891	2550	24.6925	2550	51.4593	2550	44.3787	2550	51.3704	2550	21.8683	2550	41.5095	2550	74.8269	2550	83.6855	2550	63.1759	2550	37.2365
XM_015809997.1	884	0	884	0	884	0	884	0	884	0	884	0	884	0	884	0	884	0.267845	884	0	884	0	884	0	884	0	884	69.876
XM_015809998.1	1036	0	1036	0	1036	0	1036	0	1036	0	1036	0	1036	0	1036	0	1036	0	1036	19.6344	1036	0	1036	0	1036	0	1036	0
XM_015809999.1	2588	0.374503	2588	0.886628	2588	0.0649954	2588	0.09366	2588	0.0996133	2588	0	2588	0.419733	2588	0.274355	2588	0.806417	2588	0.265375	2588	2.00991	2588	1.54698	2588	1.00174	2588	0.294046
XM_015810000.1	2588	0.374503	2588	0	2588	0.0649954	2588	0.09366	2588	0.0996133	2588	0	2588	0.419733	2588	0.274355	2588	0.806417	2588	0.265375	2588	1.00496	2588	1.54698	2588	1.00167	2588	0.294046
XM_015810001.1	1882	3.69489	1882	2.23206	1882	1.22039	1882	1.85197	1882	9.29356	1882	99.1719	1882	6.71761	1882	37.3046	1882	29.232	1882	0	1882	36.8539	1882	20.5828	1882	14.9073	1882	51.6903
XM_015810002.1	1840	11.374	1840	0.755373	1840	2.38429	1840	0	1840	8.23805	1840	2.71155	1840	16.0473	1840	37.7659	1840	2.37151	1840	33.5695	1840	0.000204124	1840	0	1840	14.1039	1840	35.1496
XM_015810003.1	3585	1.6237	3585	1.04757	3585	1.44288	3585	1.26001	3585	1.76485	3585	10.1165	3585	3.73301	3585	7.01797	3585	6.23187	3585	5.36167	3585	21.9884	3585	4.4831	3585	12.8658	3585	7.93726
XM_015810004.1	1962	0.890774	1962	2.28968	1962	1.57741	1962	2.90669	1962	3.44624	1962	1.34798	1962	1.5701	1962	1.22881	1962	12.3249	1962	11.8214	1962	10.0891	1962	3.2293	1962	2.81101	1962	8.29997
XM_015810005.1	2263	26.3028	2263	1.57811	2263	1.00083	2263	2.21817	2263	1.11193	2263	1.30327	2263	0.631443	2263	0.949095	2263	2.46973	2263	0.978603	2263	1.77653	2263	2.24506	2263	1.90903	2263	4.86075
XM_015810006.1	986	312.005	986	37.1343	986	34.3906	986	41.625	986	55.358	986	113.037	986	69.0659	986	118.328	986	40.743	986	84.7473	986	86.2724	986	86.6259	986	87.0814	986	98.6326
XM_015810007.1	1268	27.3453	1268	26.5852	1268	57.7396	1268	63.7286	1268	67.0948	1268	106.459	1268	103.183	1268	87.7424	1268	75.8576	1268	0	1268	66.7063	1268	43.6784	1268	83.7006	1268	52.7461
XM_015810008.1	1273	0.105587	1273	0.208063	1273	0.409437	1273	0.00395485	1273	0.00636256	1273	0.673223	1273	0.0608042	1273	0.595652	1273	0.00305472	1273	29.907	1273	0.0930254	1273	0.404503	1273	0.645898	1273	0.0806945
XM_015810009.1	969	5.69599	969	1.99549	969	7.44125	969	34.5747	969	23.8682	969	23.0611	969	28.7575	969	41.8726	969	39.9205	969	31.1024	969	81.6572	969	26.8847	969	50.6404	969	32.7804
XM_015810010.1	2860	7.32911	2860	7.67413	2860	13.9468	2860	11.0709	2860	15.1371	2860	26.3833	2860	34.2229	2860	30.782	2860	29.3948	2860	40.7141	2860	31.0242	2860	21.7685	2860	28.3722	2860	47.0123
XM_015810011.1	1760	132.248	1760	7.79224	1760	9.60978	1760	4.98516	1760	6.95744	1760	21.9562	1760	13.7996	1760	32.0644	1760	18.2218	1760	28.6541	1760	18.2247	1760	18.8405	1760	19.1082	1760	22.675
XM_015810012.1	1955	0	1955	0	1955	0	1955	0	1955	0	1955	0	1955	0	1955	0	1955	0	1955	0	1955	0	1955	0	1955	0	1955	0
XM_015810013.1	1865	1.25024	1865	1.34466	1865	1.35862	1865	10.4216	1865	8.36274	1865	2.02895	1865	15.8369	1865	12.0117	1865	0.86703	1865	84.3687	1865	14.3978	1865	3.68469	1865	15.2268	1865	14.7431
XM_015810014.1	1101	3.76656	1101	0.518466	1101	0	1101	0	1101	3.19456	1101	0.504628	1101	1.81272	1101	11.9909	1101	0.635502	1101	0	1101	14.7345	1101	14.0249	1101	8.00283	1101	2.26655
XM_015810015.1	4140	9.92683	4140	12.6011	4140	15.8899	4140	15.9991	4140	19.7257	4140	50.8525	4140	43.257	4140	58.2124	4140	41.4918	4140	118.905	4140	38.577	4140	48.4527	4140	34.3458	4140	41.7645
XM_015810016.1	1222	0.0164687	1222	0.0234773	1222	0.0225502	1222	0.0101104	1222	0.00403062	1222	0.00744492	1222	0.00642357	1222	0.00842791	1222	0.00837525	1222	0.00109968	1222	0.00331088	1222	0	1222	0.00696063	1222	0.00304033
XM_015810017.1	1215	67.3969	1215	38.4884	1215	31.5698	1215	28.1627	1215	11.6279	1215	12.19	1215	15.8175	1215	12.4901	1215	25.1085	1215	1.92292	1215	8.80705	1215	0	1215	8.54757	1215	8.26805
XM_015810018.1	2074	152.343	2074	26.1028	2074	16.2786	2074	62.4456	2074	6.86781	2074	3.17659	2074	5.68485	2074	3.35714	2074	51.6779	2074	29.5283	2074	5.61644	2074	4.78204	2074	5.73678	2074	24.2004
XM_015810019.1	5037	1.42507	5037	0.533378	5037	1.53009	5037	0.604915	5037	1.58608	5037	5.10931	5037	2.13303	5037	5.25685	5037	4.14789	5037	7.39061	5037	5.6015	5037	2.35278	5037	3.34898	5037	7.68803
XM_015810020.1	2743	2.22651	2743	0	2743	0	2743	1.17954	2743	8.53438	2743	33.3571	2743	10.9879	2743	29.2818	2743	7.03303	2743	0	2743	7.75823	2743	0	2743	6.64787	2743	16.9597
XM_015810021.1	4074	7.42433	4074	5.4334	4074	7.10285	4074	14.9539	4074	14.2616	4074	29.9657	4074	13.2958	4074	35.5636	4074	25.0396	4074	24.6348	4074	12.3606	4074	0	4074	20.6886	4074	23.9704
XM_015810022.1	2647	8.78482	2647	2.05579	2647	1.26901	2647	13.1748	2647	1.76825	2647	1.01564e-06	2647	3.5587	2647	0.404824	2647	2.59329	2647	7.46363	2647	1.33181	2647	11.4142	2647	2.79274	2647	0
XM_015810023.1	1252	4.02124	1252	1.23203	1252	1.8349	1252	5.96517	1252	7.46662	1252	23.8706	1252	10.9485	1252	31.8174	1252	27.1185	1252	16.7451	1252	50.6017	1252	37.178	1252	34.0354	1252	41.9206
XM_015810024.1	1664	44.2676	1664	3.9957	1664	1.05053	1664	11.7479	1664	9.97704	1664	11.8627	1664	1.58447	1664	20.7154	1664	8.07184	1664	1.53089	1664	25.1301	1664	13.592	1664	10.6486	1664	11.3441
XM_015810025.1	1118	6.48622	1118	8.14515	1118	7.60032	1118	15.4083	1118	7.67095	1118	43.8921	1118	19.506	1118	26.7909	1118	9.24565	1118	58.1067	1118	21.363	1118	11.1275	1118	23.8481	1118	50.1394
XM_015810026.1	1150	0	1150	0	1150	0	1150	0	1150	0	1150	0	1150	0	1150	0	1150	0	1150	0	1150	0	1150	0	1150	0	1150	0
XM_015810027.1	516	135.501	516	0	516	0	516	0	516	0.227689	516	0	516	0	516	0	516	0.668643	516	6.08488	516	0	516	0	516	0	516	0
XM_015810028.1	4030	4.33829	4030	1.27479	4030	4.26493	4030	6.62984	4030	4.99768	4030	22.0543	4030	11.0185	4030	17.6093	4030	50.8398	4030	22.8127	4030	14.9983	4030	6.28202	4030	11.9944	4030	42.2332
XM_015810029.1	3993	0.948607	3993	0.648701	3993	0.388015	3993	1.57876	3993	1.741	3993	13.897	3993	2.68136	3993	3.343	3993	2.80986	3993	11.1907	3993	5.07452	3993	8.24183	3993	2.13074	3993	12.603
XM_015810030.1	586	28.7348	586	11.7859	586	12.9553	586	35.8845	586	23.008	586	50.1164	586	35.707	586	46.2127	586	58.5681	586	62.9533	586	26.239	586	9.90545	586	39.1221	586	132.459
XM_015810031.1	2303	0	2303	0	2303	0	2303	0	2303	0	2303	0	2303	0	2303	0	2303	0	2303	0	2303	0	2303	0	2303	0	2303	0
XM_015810032.1	2281	0	2281	0	2281	0	2281	0	2281	0	2281	0	2281	0	2281	0	2281	0	2281	0	2281	0	2281	0	2281	0	2281	0
XM_015810033.1	2222	8.57699	2222	8.10351	2222	36.0544	2222	13.0324	2222	3.52189	2222	38.2421	2222	24.0701	2222	40.0541	2222	14.4072	2222	117.118	2222	26.5109	2222	40.555	2222	23.4833	2222	35.1396
XM_015810034.1	1043	857.982	1043	734.173	1043	1159.09	1043	3202.17	1043	1137.52	1043	995.116	1043	1173.14	1043	924.338	1043	2677.51	1043	1155.3	1043	1307.92	1043	909.702	1043	1167.13	1043	1445.8
XM_015810035.1	4066	0.958215	4066	3.69727	4066	3.25665	4066	1.45323	4066	0.103158	4066	0	4066	0.272934	4066	0.171057	4066	1.55556	4066	2.78407	4066	2.3763	4066	0.214639	4066	0.379861	4066	4.2762
