Name	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM
XM_015405389.1	3253	0	3253	0	3253	0	3253	0	3253	0	3253	1.19692e-08	3253	0	3253	2.35482e-08	3253	0	3253	1.20033e-08	3253	0	3253	0	3253	1.24068e-08
XM_015405390.1	3202	0	3202	0	3202	0	3202	0	3202	0	3202	0.824513	3202	0	3202	2.5828	3202	0	3202	0.957976	3202	0	3202	0	3202	0.509798
XM_015405391.1	930	142.654	930	0.776382	930	0.779424	930	0	930	0	930	0	930	0	930	0	930	64.9403	930	0	930	0	930	0	930	0
XM_015405392.1	4011	0	4011	0	4011	0.311193	4011	0	4011	0	4011	0	4011	0	4011	0.27231	4011	0	4011	0	4011	0	4011	0	4011	0
XM_015405393.1	5850	0.101134	5850	0	5850	0	5850	0	5850	1.14074	5850	0	5850	0	5850	6.73532	5850	0	5850	0.857313	5850	0.247335	5850	0	5850	0
XM_015405394.1	2183	0	2183	0	2183	0	2183	0	2183	0	2183	0	2183	0	2183	0	2183	0	2183	0	2183	0	2183	0	2183	0
XM_015405395.1	2355	0	2355	0	2355	0	2355	0	2355	0	2355	0	2355	0	2355	0	2355	0	2355	0	2355	0	2355	0	2355	0
XM_015405396.1	2031	0	2031	0	2031	0	2031	0	2031	0	2031	0	2031	0	2031	0	2031	0	2031	0	2031	0	2031	0	2031	0
XM_015405397.1	2020	0	2020	0	2020	0	2020	0	2020	0	2020	0	2020	0	2020	0	2020	0	2020	0	2020	0	2020	0	2020	0
XM_015405398.1	1598	0	1598	0	1598	0	1598	0	1598	0	1598	0	1598	2.44634	1598	0	1598	8.86631	1598	4.01125	1598	0	1598	0	1598	0
XM_015405399.1	4448	0.670808	4448	0	4448	2.65494	4448	0.507306	4448	0	4448	0.117275	4448	1.10749	4448	1.3456	4448	0	4448	8.40467	4448	7.53477	4448	8.18321	4448	2.17531
XM_015405400.1	4657	0	4657	0	4657	0	4657	0	4657	0	4657	0	4657	0	4657	0	4657	0	4657	0	4657	0	4657	0	4657	0
XM_015405401.1	3245	21.4348	3245	0.973997	3245	0.3885	3245	0	3245	0	3245	0.48787	3245	4.99068	3245	1.86778	3245	8.36811	3245	0.314915	3245	0	3245	3.36294	3245	2.01101
XM_015405402.1	2418	7.88944	2418	0.797926	2418	1.8581	2418	0	2418	0	2418	0	2418	0	2418	7.64206	2418	0	2418	4.28806	2418	0	2418	0	2418	2.05439
XM_015405403.1	6566	0.26952	6566	1.12676	6566	1.21579	6566	2.17396	6566	3.29562	6566	2.04509	6566	6.87155	6566	5.41048	6566	7.42986	6566	35.201	6566	18.466	6566	24.7958	6566	6.56544
XM_015405404.1	2480	2.47712	2480	3.36549	2480	1.80841	2480	8.61952	2480	8.30904	2480	3.88174	2480	12.2165	2480	15.3291	2480	0	2480	27.1366	2480	4.81315	2480	13.3819	2480	2.0001
XM_015405405.1	2823	0	2823	0	2823	0	2823	0	2823	0	2823	0	2823	0	2823	0	2823	0	2823	0	2823	0	2823	0	2823	0
XM_015405406.1	858	19.6572	858	0	858	0	858	0	858	0	858	0	858	0	858	0	858	0	858	0	858	0	858	0	858	8.64206
XM_015405407.1	996	1.36939	996	0	996	0	996	0	996	0	996	0	996	0	996	0	996	0	996	0	996	0	996	0	996	0
XM_015405408.1	4176	0.143236	4176	2.84432	4176	0	4176	0	4176	2.82022	4176	0.625832	4176	0.886499	4176	1.69756	4176	0	4176	2.42429	4176	2.09765	4176	0.646978	4176	0
XM_015405409.1	2491	31.5326	2491	39.762	2491	19.3947	2491	45.6651	2491	440.354	2491	62.8996	2491	273.131	2491	151.87	2491	131.09	2491	282.489	2491	213.881	2491	158.591	2491	250.135
XM_015405410.1	972	0	972	0	972	0	972	0	972	0	972	0	972	0	972	0	972	0	972	0	972	0	972	0	972	0
XM_015405411.1	3174	4.21658	3174	3.52567	3174	3.49358	3174	10.8427	3174	35.8886	3174	8.14814	3174	3.49853	3174	16.1842	3174	3.18425	3174	25.8418	3174	8.28943	3174	9.5666	3174	20.6092
XM_015405412.1	2040	0	2040	0	2040	2.86972	2040	21.7275	2040	132.771	2040	74.8526	2040	80.8132	2040	3.33325	2040	163.645	2040	146.926	2040	79.9258	2040	144.155	2040	94.3707
XM_015405413.1	4396	0.0575868	4396	0	4396	0	4396	0.1567	4396	7.50362e-06	4396	4.89105e-06	4396	0.201686	4396	0.369512	4396	0.477618	4396	0.00236035	4396	0.372074	4396	0.472747	4396	1.94602
XM_015405414.1	4393	0.130575	4393	0	4393	0	4393	0.337388	4393	1.63824e-05	4393	1.05784e-05	4393	0.419602	4393	0.81501	4393	0.997576	4393	0.005138	4393	0.783607	4393	0.979237	4393	4.11971
XM_015405415.1	606	0	606	0	606	0	606	0	606	0	606	0	606	0	606	0	606	0	606	0	606	0	606	0	606	0
XM_015405416.1	4390	0.691689	4390	0	4390	2.22888	4390	4.24922	4390	1.56611	4390	7.77723	4390	0.87343	4390	13.9959	4390	2.0847	4390	12.4089	4390	0	4390	0	4390	7.2511
XM_015405417.1	4387	1.57017	4387	0	4387	5.35198	4387	9.1648	4387	3.42531	4387	16.8455	4387	1.81907	4387	30.9657	4387	4.35885	4387	27.0481	4387	0	4387	0	4387	15.3661
XM_015405418.1	4384	1.52706	4384	0	4384	0	4384	3.37863	4384	0.000171063	4384	0.000107375	4384	3.79054	4384	8.77565	4384	9.1187	4384	0.0531808	4384	7.34329	4384	8.73042	4384	39.2156
XM_015405419.1	4381	3.47061	4381	0	4381	0	4381	7.2907	4381	0.000374316	4381	0.000232757	4381	7.90284	4381	19.4024	4381	19.0866	4381	0.116029	4381	15.4983	4381	18.1221	4381	83.2024
XM_015405420.1	4381	0.402571	4381	2.83298	4381	0	4381	0.128278	4381	0.000374316	4381	5.54972e-06	4381	7.90284	4381	0.213642	4381	19.0866	4381	0.00383702	4381	15.4983	4381	18.1221	4381	0.988452
XM_015405421.1	4378	0.915575	4378	6.42554	4378	0	4378	0.276898	4378	0.000819527	4378	1.20374e-05	4378	16.4853	4378	0.472311	4378	39.972	4378	0.00837926	4378	32.7274	4378	37.6367	4378	2.09696
XM_015405422.1	4159	3.27041e-06	4159	0	4159	0	4159	0	4159	0	4159	0	4159	0	4159	0	4159	0	4159	0	4159	0	4159	0	4159	0
XM_015405423.1	4153	4.68331e-05	4153	0	4153	3.12699	4153	0	4153	0	4153	0	4153	0	4153	0	4153	0	4153	0	4153	0	4153	0	4153	0
XM_015405424.1	4372	10.7414	4372	9.42575	4372	0	4372	7.57793	4372	172.927	4372	20.1702	4372	71.8493	4372	18.0174	4372	175.597	4372	45.5269	4372	0	4372	0	4372	7.78754
XM_015405425.1	4150	0.000111599	4150	0	4150	7.90972	4150	0	4150	0	4150	0	4150	0	4150	0	4150	0	4150	0	4150	0	4150	0	4150	0
XM_015405426.1	2454	0	2454	0.261811	2454	0	2454	0.189501	2454	0	2454	0	2454	0	2454	1.13984	2454	0	2454	2.1108	2454	0	2454	0	2454	0
XM_015405427.1	1647	0.385992	1647	1.61353	1647	0	1647	0	1647	0	1647	0	1647	0	1647	0	1647	0	1647	0	1647	0	1647	0	1647	0
XM_015405428.1	3497	0.86168	3497	0	3497	0	3497	0.912393	3497	0	3497	1.2035	3497	4.2617	3497	2.3555	3497	0	3497	6.11807	3497	4.20057	3497	15.9427	3497	1.86031
XM_015405429.1	886	0	886	0	886	0	886	0	886	0	886	0	886	0	886	0	886	0	886	0	886	0	886	0	886	0
XM_015405430.1	2766	0	2766	0	2766	0	2766	0	2766	0	2766	0	2766	0	2766	0	2766	0	2766	0	2766	0	2766	0	2766	0
XM_015405431.1	639	0	639	0	639	0	639	0	639	0	639	0	639	0	639	0	639	0	639	0	639	0	639	0	639	0
XM_015405432.1	4108	0.2914	4108	0.152276	4108	0.151772	4108	0.330571	4108	0	4108	0.381924	4108	0	4108	4.25031	4108	0	4108	22.6848	4108	0	4108	8.55471	4108	4.32927
XM_015405433.1	3959	0	3959	0	3959	0	3959	0	3959	0	3959	0	3959	0	3959	0	3959	0	3959	0	3959	4.4329	3959	0	3959	0
XM_015405434.1	2437	5.04759	2437	0	2437	0.263226	2437	1.33639	2437	7.75798	2437	4.39357	2437	3.11113	2437	0.688974	2437	0	2437	17.4362	2437	0	2437	8.52001	2437	9.50807
XM_015405435.1	1894	0.663466	1894	3.35596	1894	0.691457	1894	0.752648	1894	0	1894	0	1894	0	1894	2.40885	1894	0	1894	0	1894	0	1894	0	1894	1.77739
XM_015405436.1	2367	0	2367	0	2367	0	2367	3.06945e-09	2367	0	2367	3.88611e-09	2367	2.48666e-08	2367	2.69993e-09	2367	0	2367	1.55273e-08	2367	1.26838e-08	2367	8.91199e-09	2367	0
XM_015405437.1	2325	0	2325	0	2325	0.553707	2325	3.21234	2325	5.18765	2325	4.15635	2325	9.26523	2325	5.07059	2325	0	2325	19.6673	2325	6.44078	2325	2.98533	2325	0
XM_015405438.1	793	0	793	0	793	0	793	0	793	0	793	0	793	0	793	0	793	0	793	0	793	0	793	0	793	0
XM_015405439.1	2924	0	2924	0	2924	0	2924	0	2924	0	2924	0	2924	0	2924	0	2924	0	2924	0	2924	0	2924	0	2924	0
XM_015405440.1	2813	0	2813	0	2813	0.451797	2813	0.819482	2813	0	2813	2.45501	2813	0	2813	1.97292	2813	0	2813	0.365645	2813	0	2813	1.46464	2813	0
XM_015405441.1	2853	0	2853	0	2853	4.30848e-09	2853	7.72473e-08	2853	0	2853	2.20414e-07	2853	0	2853	1.1603e-07	2853	0	2853	2.90177e-08	2853	0	2853	3.26855e-07	2853	0
XM_015405442.1	3702	21.5961	3702	0.509112	3702	0.338352	3702	0	3702	0	3702	0	3702	0	3702	0.295966	3702	0	3702	0	3702	0	3702	0	3702	0
XM_015405443.1	3047	0	3047	0	3047	0	3047	0	3047	0	3047	0	3047	0	3047	0	3047	0	3047	0	3047	0	3047	0	3047	0
XM_015405444.1	2553	1.92138	2553	0.753013	2553	0.500917	2553	1.27172	2553	0	2553	0.627433	2553	0	2553	22.0781	2553	8.96193	2553	1.21471	2553	0	2553	3.78516	2553	6.46579
XM_015405445.1	1115	0	1115	0	1115	0	1115	0	1115	0	1115	0	1115	0	1115	0	1115	0	1115	0	1115	0	1115	0	1115	0
XM_015405446.1	1234	0	1234	0	1234	0	1234	0	1234	0	1234	0	1234	0	1234	0	1234	0	1234	0	1234	0	1234	0	1234	0
XM_015405447.1	1329	0	1329	0	1329	0	1329	0	1329	0	1329	0	1329	0	1329	5.33492	1329	0	1329	0	1329	0	1329	0	1329	0
XM_015405448.1	1584	0	1584	0	1584	0	1584	0	1584	0	1584	0	1584	0	1584	0	1584	0	1584	0	1584	0	1584	0	1584	0
XM_015405449.1	1082	4.96958	1082	1.94741	1082	0.650717	1082	0.470279	1082	0	1082	0	1082	0	1082	5.61772	1082	0	1082	0	1082	0	1082	1.38183	1082	4.94993
XM_015405450.1	1725	0.366818	1725	0.383347	1725	0	1725	0	1725	0	1725	0	1725	0	1725	0	1725	0	1725	0	1725	0	1725	0	1725	24.5775
XM_015405451.1	1198	0	1198	0	1198	0	1198	0	1198	0	1198	0	1198	0	1198	0	1198	0	1198	0	1198	0	1198	0	1198	0
XM_015405452.1	2901	0	2901	0	2901	0	2901	0	2901	0	2901	0	2901	0	2901	0	2901	0	2901	0	2901	0	2901	0	2901	0
XM_015405453.1	1815	0	1815	0	1815	0	1815	0	1815	0	1815	0	1815	0	1815	0	1815	0	1815	0	1815	0	1815	0	1815	0
XM_015405454.1	1472	0	1472	0	1472	0	1472	0	1472	0	1472	0	1472	0	1472	0	1472	0	1472	0	1472	0	1472	0	1472	0
XM_015405455.1	3641	7.10436	3641	1.89941	3641	1.20499	3641	1.62443	3641	3.71285	3641	2.59669	3641	1.70282	3641	7.67881	3641	0	3641	4.74952	3641	0	3641	3.35583	3641	16.0553
XM_015405456.1	2092	0	2092	0	2092	0	2092	0	2092	0	2092	0	2092	0	2092	0	2092	0	2092	0	2092	0	2092	0	2092	0
XM_015405457.1	4585	1.0401	4585	1.08705	4585	1.21865	4585	1.76981	4585	1.46394	4585	4.2056	4585	0	4585	2.72671	4585	0	4585	1.54116	4585	2.85777	4585	2.34999	4585	1.40557
XM_015405458.1	2550	0	2550	0	2550	0	2550	0	2550	0	2550	0	2550	0	2550	0	2550	0	2550	0	2550	0	2550	0	2550	0
XM_015405459.1	2338	0	2338	0	2338	0	2338	0	2338	0	2338	0	2338	0	2338	0	2338	0	2338	0	2338	0	2338	0	2338	0
XM_015405460.1	1148	8.28202e-08	1148	7.40614e-08	1148	6.21032e-09	1148	2.2057e-07	1148	4.77887e-08	1148	4.69668e-07	1148	9.74976e-07	1148	2.42418e-07	1148	0	1148	3.50973e-07	1148	4.24002e-07	1148	1.27352e-06	1148	1.06111e-06
XM_015405461.1	1130	132.89	1130	109.243	1130	46.3849	1130	93.4444	1130	16.1791	1130	163.05	1130	118.619	1130	161.922	1130	0	1130	133.528	1130	64.9411	1130	145.974	1130	204.159
XM_015405462.1	1345	0	1345	0	1345	0	1345	0	1345	0	1345	0	1345	0	1345	0	1345	0	1345	0	1345	0	1345	0	1345	0
XM_015405463.1	1357	0	1357	0	1357	0	1357	0	1357	0	1357	0	1357	0	1357	0	1357	0	1357	0	1357	0	1357	0	1357	0
XM_015405464.1	1349	0	1349	0	1349	0	1349	0	1349	0	1349	0	1349	0	1349	0	1349	0	1349	0	1349	0	1349	0	1349	0
XM_015405465.1	1281	0	1281	0	1281	0	1281	0	1281	0	1281	0	1281	0	1281	0	1281	0	1281	0	1281	0	1281	0	1281	0
XM_015405466.1	1285	0	1285	0	1285	0	1285	0	1285	0	1285	0	1285	0	1285	0	1285	0	1285	0	1285	0	1285	0	1285	0
XM_015405467.1	1297	0	1297	0	1297	0	1297	0	1297	0	1297	0	1297	0	1297	0	1297	0	1297	0	1297	0	1297	0	1297	0
XM_015405468.1	1353	0	1353	0	1353	0	1353	0	1353	0	1353	0	1353	0	1353	0	1353	0	1353	0	1353	0	1353	0	1353	0
XM_015405469.1	1599	34.2986	1599	4.58467	1599	0.833359	1599	0.905354	1599	36.4607	1599	20.3748	1599	26.0765	1599	15.9289	1599	0	1599	24.7192	1599	0.96183	1599	10.721	1599	8.54126
XM_015405470.1	833	0	833	0	833	0	833	0	833	0	833	0	833	0	833	0	833	0	833	0	833	0	833	0	833	0
XM_015405471.1	2225	5.84271	2225	0	2225	11.0303	2225	0	2225	6.98669	2225	0.725853	2225	0	2225	67.0623	2225	0	2225	0.936668	2225	0	2225	1.2513	2225	5.98406
XM_015405472.1	3990	0	3990	0	3990	0	3990	0	3990	0	3990	0	3990	0	3990	0	3990	0	3990	0	3990	0	3990	0	3990	0
XM_015405473.1	2269	29.9677	2269	14.2359	2269	0	2269	0	2269	0	2269	0	2269	0	2269	0	2269	0	2269	0	2269	0	2269	0	2269	0
XM_015405474.1	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0
XM_015405475.1	1828	2.06543	1828	1.79876	1828	4.31305	1828	2.08361	1828	4.78368	1828	1.49326	1828	11.9817	1828	5.94246	1828	0	1828	4.62333	1828	11.6524	1828	5.40734	1828	0
XM_015405476.1	4104	1.89602	4104	1.06701	4104	0.759629	4104	2.09573	4104	1.23051	4104	1.01949	4104	0	4104	10.5036	4104	0	4104	3.45552	4104	0	4104	1.97615	4104	7.0914
XM_015405477.1	1315	0	1315	0	1315	0	1315	0	1315	0	1315	0	1315	0	1315	0	1315	0	1315	0	1315	0	1315	0	1315	0
XM_015405478.1	3564	0.506848	3564	1.58916	3564	2.11245	3564	0.766676	3564	0	3564	1.76999	3564	1.04462	3564	3.23307	3564	0	3564	0.571301	3564	0	3564	0	3564	5.01592
XM_015405479.1	1269	158.701	1269	0.540209	1269	0	1269	0	1269	0	1269	0	1269	0	1269	1.40493	1269	0	1269	0	1269	0	1269	0	1269	0
XM_015405480.1	3481	0	3481	0	3481	0	3481	0	3481	0	3481	0	3481	0	3481	0	3481	0	3481	0	3481	0	3481	0	3481	0
XM_015405481.1	1131	698.58	1131	0	1131	0	1131	0	1131	0	1131	0	1131	0	1131	0	1131	0	1131	0	1131	0	1131	0	1131	0
XM_015405482.1	801	0	801	0	801	0	801	0	801	0	801	0	801	0	801	0	801	0	801	0	801	0	801	0	801	0
XM_015405483.1	2257	0	2257	0	2257	0	2257	0	2257	0	2257	0	2257	0	2257	0	2257	0	2257	0	2257	0	2257	0	2257	0
XM_015405484.1	3297	2.93288	3297	16.4755	3297	5.34879	3297	0.138641	3297	3.08615	3297	3.99875	3297	0.755179	3297	1.50297	3297	19.8913	3297	8.36305	3297	6.69844	3297	1.65381	3297	7.41729
XM_015405485.1	3177	2.66817	3177	1.19509	3177	0.794521	3177	0.144148	3177	13.3637	3177	2.49386	3177	10.9893	3177	2.6041	3177	17.8221	3177	42.175	3177	14.3882	3177	15.9014	3177	11.3077
XM_015405486.1	3734	0	3734	0	3734	0	3734	0	3734	0	3734	0	3734	0	3734	0	3734	0	3734	0	3734	0	3734	0	3734	0
XM_015405487.1	1379	0	1379	1.96671	1379	0	1379	0	1379	0	1379	0	1379	0	1379	6.825	1379	0	1379	0	1379	0	1379	0	1379	0
XM_015405488.1	2284	41.6593	2284	0	2284	0.564403	2284	1.0232	2284	0.755134	2284	1.41187	2284	7.22021	2284	55.6152	2284	7.05543	2284	4.09948	2284	8.5322	2284	0	2284	5.81984
XM_015405489.1	4863	8.8082	4863	0	4863	0.636996	4863	0	4863	0	4863	0	4863	0	4863	0.446269	4863	0	4863	0	4863	0	4863	0	4863	6.61468
XM_015405490.1	2806	103.195	2806	170.971	2806	29.4446	2806	45.6801	2806	25.552	2806	81.9849	2806	71.5112	2806	63.5665	2806	58.4339	2806	59.3896	2806	71.3367	2806	63.634	2806	141.071
XM_015405491.1	3560	2.02977	3560	30.0527	3560	18.682	3560	117.695	3560	247.018	3560	219.44	3560	522.571	3560	65.9703	3560	12.034	3560	144.422	3560	79.5831	3560	115.271	3560	26.0219
XM_015405492.1	2244	2.75694	2244	0	2244	2.87622	2244	0.20856	2244	0	2244	0	2244	0	2244	3.26007	2244	0	2244	0	2244	0	2244	0	2244	0
XM_015405493.1	2020	66.3926	2020	35.1769	2020	103.132	2020	49.7618	2020	12.0408	2020	66.7941	2020	18.993	2020	55.8661	2020	11.4843	2020	35.3034	2020	13.4617	2020	13.8748	2020	107.811
XM_015405494.1	1808	0	1808	0	1808	0	1808	0	1808	0	1808	0	1808	0	1808	0	1808	0	1808	0	1808	0	1808	0	1808	0
XM_015405495.1	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0
XM_015405496.1	1740	29.4311	1740	38.7315	1740	15.9373	1740	6.04826	1740	3.02612	1740	11.0256	1740	3.71699	1740	28.7115	1740	0	1740	9.14295	1740	0	1740	0	1740	19.4783
XM_015405497.1	1802	0.349671	1802	0.36543	1802	0	1802	0	1802	0	1802	0	1802	0	1802	0	1802	11.6804	1802	0	1802	0	1802	0	1802	0
XM_015405498.1	1016	6.68803	1016	13.2786	1016	18.2255	1016	5.57008	1016	0	1016	5.73595	1016	0	1016	19.9432	1016	0	1016	12.1917	1016	0	1016	0	1016	24.8284
XM_015405499.1	4382	0	4382	0	4382	0	4382	0	4382	0	4382	0	4382	0	4382	0	4382	0	4382	0	4382	0	4382	0	4382	0
XM_015405500.1	4961	0	4961	0	4961	0	4961	1.12316e-09	4961	0	4961	0	4961	0	4961	0	4961	0	4961	0	4961	0	4961	0	4961	1.43114e-08
XM_015405501.1	4876	0.121999	4876	0	4876	0.127048	4876	0.276783	4876	0	4876	0.21338	4876	0	4876	0.111261	4876	0	4876	0.206663	4876	0	4876	0	4876	2.31098
XM_015405502.1	760	0	760	0	760	0	760	0	760	0	760	0	760	0	760	0	760	0	760	0	760	0	760	0	760	0
XM_015405503.1	3430	0	3430	0	3430	0	3430	0	3430	0	3430	0	3430	0	3430	0	3430	0	3430	0	3430	0	3430	0	3430	0
XM_015405504.1	3335	0	3335	0	3335	0	3335	0	3335	0	3335	0	3335	0	3335	0	3335	0	3335	0	3335	0	3335	0	3335	0
XM_015405505.1	3303	0	3303	0	3303	0	3303	0	3303	0	3303	0	3303	0	3303	0	3303	0	3303	0	3303	0	3303	0	3303	0
XM_015405506.1	3473	0	3473	0	3473	0	3473	0	3473	0	3473	0	3473	0	3473	0	3473	0	3473	0	3473	0	3473	0	3473	0
XM_015405507.1	3258	0	3258	0	3258	0	3258	0	3258	0	3258	0	3258	0	3258	0	3258	0	3258	0	3258	0	3258	0	3258	0
XM_015405508.1	3170	308.698	3170	491.525	3170	761.329	3170	143.761	3170	169.841	3170	338.947	3170	215.965	3170	429.452	3170	458.011	3170	521.141	3170	297.729	3170	496.667	3170	334.862
XM_015405509.1	3250	0	3250	0	3250	0	3250	0	3250	0	3250	0	3250	0	3250	0	3250	0	3250	0	3250	0	3250	0	3250	0
XM_015405510.1	3209	0	3209	0	3209	0	3209	0	3209	0	3209	0	3209	0	3209	0	3209	0	3209	0	3209	0	3209	0	3209	0
XM_015405511.1	1292	19.753	1292	26.9935	1292	22.783	1292	50.9845	1292	264.913	1292	56.7952	1292	119.563	1292	98.6674	1292	14.9248	1292	221.335	1292	71.7074	1292	225.018	1292	99.9541
XM_015405512.1	3360	69.1584	3360	0	3360	0.936328	3360	2.7388	3360	0	3360	0	3360	0	3360	4.58429	3360	0	3360	0	3360	14.8872	3360	0	3360	0
XM_015405513.1	3087	0.225845	3087	2.66884	3087	0	3087	6.26464e-08	3087	3.73122e-07	3087	4.35868e-08	3087	6.72265e-07	3087	0	3087	0	3087	7.86546e-07	3087	0	3087	1.49132e-06	3087	5.29652
XM_015405514.1	3042	0	3042	0	3042	0	3042	1.18437	3042	8.94792	3042	0.869878	3042	5.74962	3042	0	3042	0	3042	18.1914	3042	0	3042	11.6931	3042	0
XM_015405515.1	1061	0	1061	0	1061	0	1061	0	1061	0	1061	0	1061	0	1061	0	1061	0	1061	0	1061	0	1061	0	1061	0
XM_015405516.1	691	0	691	0	691	0	691	0	691	0	691	0	691	0	691	0	691	0	691	0	691	0	691	0	691	0
XM_015405517.1	607	62.514	607	63.8706	607	28.2337	607	6.75845	607	0	607	3.20855	607	0	607	28.4814	607	27.1425	607	0	607	0	607	0	607	0
XM_015405518.1	578	683.041	578	7.10859	578	10.0659	578	7.22276	578	0	578	2.27871	578	0	578	30.3883	578	0	578	10.9752	578	0	578	32.5414	578	0
XM_015405519.1	2835	105.087	2835	86.245	2835	150.107	2835	41.6129	2835	153.48	2835	73.6123	2835	109.211	2835	151.651	2835	305.099	2835	60.5659	2835	45.4801	2835	76.993	2835	112.34
XM_015405520.1	443	0	443	0	443	0	443	0	443	0	443	0	443	0	443	0	443	0	443	0	443	0	443	0	443	0
XM_015405521.1	5131	1.50472	5131	2.6614	5131	0.964228	5131	0.612723	5131	8.47877	5131	4.04981	5131	3.82461	5131	8.65678	5131	24.3351	5131	18.6316	5131	3.11169	5131	15.6982	5131	9.70287
XM_015405522.1	736	0	736	0	736	0	736	0	736	0	736	0	736	0	736	0	736	0	736	0	736	0	736	0	736	0
XM_015405523.1	696	0	696	0	696	0	696	0	696	0	696	0	696	0	696	0	696	0	696	0	696	0	696	0	696	0
XM_015405524.1	690	0	690	0	690	0	690	0	690	0	690	0	690	0	690	0	690	0	690	0	690	0	690	0	690	0
XM_015405525.1	2350	0	2350	0	2350	0	2350	0	2350	0	2350	0	2350	0	2350	0	2350	0	2350	0	2350	0	2350	0	2350	0
XM_015405526.1	2347	0	2347	0	2347	0	2347	0	2347	0	2347	0	2347	0	2347	0	2347	0	2347	0	2347	0	2347	0	2347	0
XM_015405527.1	1452	0.888031	1452	0	1452	1.39243	1452	0	1452	0	1452	0	1452	0	1452	0.402738	1452	0	1452	0	1452	0	1452	0	1452	0
XM_015405528.1	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0	1548	0
XM_015405529.1	1910	0	1910	0	1910	0	1910	0	1910	0	1910	0	1910	0	1910	0	1910	0	1910	0	1910	0	1910	0	1910	0
XM_015405530.1	1996	0	1996	0	1996	0	1996	0	1996	0	1996	0	1996	0	1996	0	1996	0	1996	0	1996	0	1996	0	1996	0
XM_015405531.1	2773	5.27979	2773	0.229915	2773	0.917435	2773	0.665606	2773	0	2773	0.383418	2773	0	2773	5.60826	2773	0	2773	0.371182	2773	0	2773	0	2773	0
XM_015405532.1	3351	13.6958	3351	0.941697	3351	33.8029	3351	1.22668	3351	11.6325	3351	9.12137	3351	2.97003	3351	9.35851	3351	163.21	3351	1.82729	3351	0	3351	1.21952	3351	11.6684
XM_015405533.1	543	0	543	0	543	0	543	0	543	0	543	0	543	0	543	0	543	0	543	0	543	0	543	0	543	0
XM_015405534.1	2316	0	2316	0.835581	2316	9.17433	2316	6.24985	2316	0	2316	10.8974	2316	0	2316	10.1832	2316	43.7003	2316	15.2601	2316	3.88036	2316	14.9883	2316	0.716811
XM_015405535.1	1023	0	1023	0.693239	1023	0	1023	0	1023	0	1023	0	1023	0	1023	0	1023	0	1023	0	1023	0	1023	0	1023	0
XM_015405536.1	2931	0	2931	0	2931	0	2931	0	2931	0	2931	0	2931	0	2931	0	2931	0	2931	0	2931	0	2931	0	2931	0
XM_015405537.1	379	0	379	0	379	0	379	0	379	0	379	0	379	0	379	0	379	0	379	0	379	0	379	0	379	0
