GeneName	ALA_eye_FPKM	ALA_vno_FPKM	ALA_tailA2_FPKM	ALAjuv_tailA2_FPKM	ALAjuv_tailB5_FPKM	ALAjuv_body_FPKM	ATEN_tailA2_FPKM	ATEN_tailB5_FPKM	ATEN_body_FPKM	NSC_vno_FPKM	BRH_vno_FPKM	HMAJ_heart_FPKM	HMAJ_testis_FPKM
L345_10028	0	0	0	0	0	0	0	0	0	0	0	0	0
PARS2	25.1	29.73	18.14	4.01	6.61	3.01	37.95	31.48	25.69	12.42	3.63	18.66	4.82
Donson	2.88	6.93	6.8	3	3.44	0.28	34.39	41.54	33.7	3.28	0	0.28	9.48
LSS	0.07	0.28	0	0.5	0	0	0.47	0.64	0.51	0	0	0	0
TTC22	0.08	14.33	16.31	12.51	14.78	18.27	5.04	16.13	15.78	12.26	19.68	0.57	334.1
L345_10032	0	0	0	0	0	0	0	0	0	0	0	0	0
L345_10030	0	0.63	0	0	0	0	0	0	0	3.69	51.49	0	70.83
Dhcr24	25.01	24.47	34.25	92.22	66.25	65.21	49.25	47.4	42.87	92.96	24.61	0	3.22
Spns3	0	0	0	0	0	0	0	0	0	0	4.78	0.99	19.04
UBE2G1	174.76	75.52	92.37	71.81	76.48	68.2	17.42	72.47	52.06	73.59	65.06	150.29	55.12
L345_10037	9.8	6.75	2.34	3.21	1.06	2.47	10.67	1.74	3.77	3.67	0	3.78	1.09
ADAMTS16	1.37	3.65	0	0.18	0	0.89	0	0.07	0	0	0	0	1
L345_10040	0.22	2.71	0	0	0	0	0	0	0	0	0	0	0.62
SON	58.97	55.05	20.63	33.27	29.03	26.8	58.14	36.97	53.01	52.91	75.11	27.34	35.14
RAB30	49.31	8.3	11.91	6.51	5.78	4.59	0	2.48	2.48	26.75	0	43.31	44.23
slu7	0	0	0	0	0	0	0	0	0	0	0	0	0
PRCP	0.93	0	0.35	19.14	13.22	10.09	4.47	1.48	3.97	0.53	0	1.85	2.59
COL19A1	3.6	0	0	0	0	0	0	0	0	0	0	0	6.45
COL9A1	1.75	6.56	0	0	0	0	0	0	0	0	0	0	2.25
CCHCR1	2.81	30.42	2.45	3.25	5.59	6.9	50.24	50.07	40.31	4.28	9.97	8.8	103.73
TCF19	0.15	0	0	1.88	0	0	12.43	10.91	8.64	2.48	0	0	5.62
POU5F1	0	0	0	0	0	0	0	0	0	0	0	0	1.62
Npdc1	2.49	0	0	0	0	0	0	0	0	0	0	1.14	3.67
L345_10054	0	0	0	0	0	0	0	0	0	0	0	0	0
GART	3.76	1.2	9.31	6.79	6.04	7.18	12.28	12.4	14.82	3.91	8.25	2.95	2.82
Acsm4	0.17	0.82	0.96	1.42	0	1.06	3.95	10.91	2.82	4.79	11.6	13.33	15.74
Thumpd1	104.27	41.43	174.44	74.59	59.05	40.79	47.17	96.46	95.84	77.93	67.23	73.27	93.22
eri2	0.14	3.03	4.44	5.69	1.81	2.37	15.37	12.37	23.65	2.48	0	0.7	5.66
L345_10053	2.02	4.82	0.31	1.45	0	0.82	4	0.66	0	0	0	0.82	0
L345_10050	4.35	0	0	0	0	0	0	0	0	0	0	7.67	0
DCUN1D3	9.74	62.49	20.37	43.82	15.17	28.3	14.88	13.67	8.28	23.32	0	7.78	76.9
LYRM1	21.41	80.02	33.64	7.34	0	17.59	11.88	25.73	4.45	8.45	0	68.37	82.65
Dnah3	0.58	15.97	0	7.91	0	5.99	0	4.09	0	21.34	56.35	0.4	297.31
DNAH3	0.22	0.37	0	2.72	0.82	2.79	0	0.69	2.09	6.58	2.73	0	20.13
DNAH3	0.22	0	0	1.64	5.81	0	0	0	0	2.69	0	0	2.54
purD	1.48	0	0.56	0.27	0	0	0	0	0	0	0	1.3	1.34
Dnah3	0	0	0	1.25	0	0	26.26	0	0	0	0	0	1.55
DNAH3	0	0.23	0.15	0.57	0	0	0	0.11	0	0	0	0	0.95
Dnah3	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAH11	0	0.7	1.66	0.73	0	0.26	0	0	0	0.7	2.52	0	0.14
IPMK	16.06	2.32	6.34	28.74	2.97	21.05	3.81	1.58	20.12	13.66	0	0.99	62.24
Cisd1	521.61	1018.03	306.79	114.63	99.15	200.77	523.04	589.31	425.37	332.23	410.49	1610.59	125.91
UBE2D1	88.14	124.2	56.48	39.1	41.23	27.93	12.88	30.86	48.82	36.38	76.52	28.53	183.69
Tfam	97.19	230.49	277.01	120.9	113.77	129.65	657	450.55	385.7	242.56	127.31	85.21	25.76
DNAJC9	120.09	208.5	68.64	114.78	106.6	131.76	247.81	187.29	167.03	75.45	0	18.46	482.18
L345_10071	51.58	10	34.93	50.26	36.26	34.59	26.98	49.5	59.31	46.13	32.07	23.35	203.25
L345_01011	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD	34.74	9.93	24.43	17.58	18.01	13.65	42.82	21.88	25.97	41.92	66.01	19.63	10.92
EPHB1	4.78	0.62	0	0.19	0	0	0	0.28	1.43	1.54	0	0.79	0.21
Klhl28	15.66	1.24	5.41	7.22	3.57	1.06	2.93	3.55	6.47	11.12	2.32	3.79	19.13
L345_10073	41.99	10.25	15.46	15.57	11.86	12.26	8.47	16.36	21.85	33.64	152.19	5.81	11.04
PRPF39	35.47	17.69	19.7	17.41	11.22	16.39	36.81	28.4	38.44	20.86	47.7	9.98	6.24
FKBP3	53.46	119.65	94.68	42.17	215.33	80.78	772.21	254.26	364.39	166.66	102.97	70.03	30.2
FANCM	0.4	0	2.11	0.33	0	0	0	1.75	2	2.15	0	0	0
CYLC2	0	0	0	0	0	0	0	0	0	0	0	0	0
L345_10079	0	0	0	0	0	0	0	0	0	0	0	0	0
Adcy8	22.92	3.28	0	1.17	0	0	0	0	0	9	0	1.68	0.9
Glcci1	11.74	8.89	1.43	6.92	4.14	8.71	12.28	3.51	3.83	18.64	26.66	2.16	23.89
Proser1	14.64	2.36	4.31	21.84	23.59	28.21	94.7	23.21	68.95	51.65	3.71	3.02	8.89
GEMIN2	53.39	134.45	65.34	14.76	31.59	20.28	32.63	49.98	53.83	38.41	0	41.75	131.22
TRAPPC6B	90.75	173.07	63.04	20.96	20.02	22.78	60.94	38.47	28.74	56.39	113.85	113.59	416.8
PNN	56.08	36.53	12.83	31.21	14.01	27.77	100.53	71.36	76.22	60.22	100.58	24.7	23.98
FBXO33	57.84	7.91	12.37	49	10.15	32.48	19.55	9.52	11.88	35.54	24.15	14.44	332.42
ZNF410	109.9	70.46	24.87	55.18	19.25	32.27	39.52	30.07	42.6	66.77	171.58	19.92	29.23
L345_10088	19.38	9.64	0.75	0.23	0	1.32	0	1.24	3.57	10.72	0	0.99	144.95
COQ6	188.39	105.55	22.65	12.25	10.57	10.65	22.86	23.86	23.63	29.61	89.03	109.53	53.48
ENTPD5	37.57	1.57	7.13	8.07	0	3.79	35.97	2.73	0	14.75	0	5.39	124.05
L345_10090	14.09	22.34	9.75	0	0	0	0	0	0	0	0	19.32	20.49
Ica1	37.45	43.19	3.26	7.05	9.1	4.65	18.22	3.22	1.8	44.38	25.29	10.61	292.65
Apob	0.02	0.16	0.18	0	0	0	0	0	0	0	0	0.1	0.49
Tdrd6	0.81	0.96	0.52	0.2	0	1.25	0	0.07	0	0	0	0.14	0.11
MSI2	0.39	0.8	0.03	0.03	0.06	0.02	0.07	0.02	0.09	0.1	0	0.09	0.47
MYOZ1	0.74	0	0	0	429.69	67.81	81.85	0	24.87	0	0	1.3	0
SYNPO2L	0.04	0.16	0	0.3	29.02	2.55	5.59	0	0.62	0.49	0	31.14	0.34
Ddc	6.27	0	0	0	0	0	0	0	0	0	0	0	0
IKZF1	1.12	8.28	0.24	1.59	0	0	0	0	0	1.12	0	2.56	0.77
Dusp27	8.75	0.16	0.21	0.1	75	17.08	14.75	0	0.92	0.66	7.19	130.34	0.45
Gpa33	1.85	23.54	0	0.86	0	0	0	0	0	90.51	55.74	0.48	0
MAEL	3.82	0	0	0	0	0	0	0	0	0	0	1.67	34.35
Dazap2	444.71	254.64	196.78	131.62	28.46	57.15	0	75.2	29.18	252.97	110.76	122.85	113.59
NXPH1	7.74	0	0	0	0	0	0	0	0	0	0	0	10.7
ILDR2	9.34	0	1.47	0.28	0	0.2	0	1.59	1.28	0	0	1.17	8.47
L345_10102	0.41	5.07	0.17	3.83	1.41	1.73	1.82	1.49	1.76	5.36	0	0.23	0.64
PRKCH	0.51	1.24	1.87	21.25	8.6	10.61	2.08	1.52	2.3	9.45	0	0.71	0
Pcdh19	3.87	3.47	0.28	0.4	0	1.49	0	0.9	0	3.47	0	0	0.15
L345_10106	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM192	62.4	20.06	46.77	34.28	15.62	40.66	22.52	23.67	39.02	75.86	16.25	11.85	69.73
KLHL2	14.28	3.77	4.63	4.98	3.13	2.93	5.75	6	7.63	8.52	18.09	0.29	2.81
Tnfaip2	7.56	29.53	11.58	11.35	0	0	62.61	0	0	0	0	0	0
Tnfaip2	0.1	1.49	0.43	0.1	0	0	0	0.19	0	0	0	0.21	0
LBH	9.33	0	0	0	0	0	0	0	0	8.38	0	0	19.77
SMC1A	148.54	33.94	50.01	93.47	77.87	86.1	226.71	152.77	172.28	130.98	192.17	42.27	11.96
L345_10113	0.82	0	0	0	0	6.93	0	0	0	0	0	0	0
CDC42BPB	28.66	7.58	8.89	37.69	23.68	28.41	67.13	11.42	28.86	56.8	99.9	7.43	21.86
AMN	0.15	0	0	0	0	0	0	0	0	0	0	0.54	0.87
ISPD	7.89	0.89	2.87	1.05	8.92	3.69	4.28	5.18	0	0	0	5.31	3.65
SOSTDC1	4.62	4.92	6.35	29.2	15.09	26.09	94.21	77.58	154.41	4.68	0	0	0.84
LRRC72	0.37	0	0	0	0	0	0	0	0	0	0	0	10.93
ANKMY2	17.68	5.93	6.79	12.55	9.24	19.95	18.32	17.03	10.78	26.43	47.95	12.35	1.8
BZW2	76.9	20	30.23	32.4	32.46	46.34	24.76	56.85	32.55	10.78	0	41.16	7.55
Tspan13	3.08	2.62	0	0.68	0	0	0	0	0	26.79	8.13	3.19	1.03
Agr3	1.47	646.27	1.16	0.36	0	0	2.95	1.36	0	1385.16	125.71	0	0
RIBC1	5.03	13.9	2.73	0.72	0	0	3.97	3.85	1.1	22.54	11.05	5.67	397.14
KIT	5.42	0	0.28	1.81	0	1.46	0	0.59	7.12	2.12	0	0	0.29
SYT16	3.18	19.44	0	1.31	0	0	0	0	0	6.2	47.21	0.69	6.28
SNAPC1	18.23	9.53	9.22	9.51	2.38	11.05	10.66	14.06	23.82	3.68	25.46	9.76	15
HIF1A	120.52	25.13	26.52	103.9	44.63	37.27	72.55	44.61	67.09	79.01	35.47	27.76	5.11
L345_10125	15.61	44.79	8.74	9.16	17.37	13.44	7.76	14.76	9.69	12.16	39.54	11.56	4.44
V-FMS	16.47	0.21	0.14	2.99	0	0	0	0	0	0.64	0	0.91	1.02
HMGXB3	21.35	4.8	5.34	5.87	10.81	5.62	5.1	5.8	12.56	11.99	18.82	5.41	6.21
NPY2R	28.08	0	0.33	0.31	0	0	0	0	0	0	0	0	7.09
L345_10126	43.33	18.77	10.47	11.56	6.54	10.19	8.95	11.55	18.32	14.33	61.34	37.83	14.98
L345_10130	13.99	0	0	0	0	0	0	0	0	0	0	0	0
HSD17B10	97.23	247.19	225.92	95.39	117.74	86.8	268.79	377.5	231.81	179.04	188.41	220.03	23.05
MME	11.67	25.09	27.25	31.97	20.65	30.47	14.56	14.79	9.87	461.7	194.04	0.88	1.36
PLOD2	7.84	16.84	2.24	1.3	0	0	0	0.37	2.24	29.07	9.18	66.45	1.83
PLSCR1	29.82	47.79	4.72	16.38	26.67	11.6	7.31	7.82	12.92	41.27	23.08	61.56	4.53
L345_10137	11.22	20.33	28.97	13.79	9.16	12	7.98	18.09	12.72	12.79	45.21	11.54	1.77
Cd274	9.93	2.64	1.13	7.25	0	2.92	14.13	5.52	0	17.02	13.12	5.25	1.2
L345_10135	16	1.79	4.52	13.66	10.81	10.95	7.63	4.4	9.72	14.23	3.62	4.34	3.32
L345_10136	4.51	0	0	2.97	0	0	0	0	0	0	0	0	0
ERMP1	37.92	87.33	53.55	93.39	115.4	79.48	90.37	61.88	81.02	46.99	243.73	25.04	6.61
DCTD	33.02	12.55	21.62	8.01	11.85	0	23.68	44.56	35.16	13.17	0	3.58	27.7
EFHA1	21.86	10.85	25.22	18.36	0	3.57	0	13.98	5.77	36.41	0	39.85	31.21
Tspyl2	31.05	4.73	5.27	24.63	21.74	18.7	18.65	33.77	19.46	35.78	59.75	13.2	13.84
Zdhhc20	8.55	1.55	1.67	1.86	0	0	0.86	0	1.9	3.57	0	0.88	0
MRP63	23.88	69.98	30.92	7	6.47	4.25	15.76	15.99	10.49	8.49	0	21.5	20.47
SKA3	1.13	20.06	23.64	4.46	0	6.3	148.26	101.32	80.19	6.2	14	3.91	27.85
SAP18	366.47	1096.88	327.75	294.11	231.06	265.67	715.78	544.96	502.64	407.54	437.6	307.2	184.42
PRPF40B	23.73	13.49	3.94	5.65	3.61	5.46	0	11.54	8.88	8.44	22.48	14.18	10.24
PTGES3	688.4	248.95	1142.69	261.86	214.05	283.87	814.23	451.59	772.77	344.33	917.27	240.65	708.77
Naca	83.89	157.38	265.46	68.87	252.42	88.63	124.44	102.73	84.32	99.5	122.64	389.04	101.05
PRIM1	2.94	9.6	2.81	3.6	0	0	0	7.44	14.88	4.23	18.25	2.98	4.18
Asap1	36.49	2.67	1.72	68.37	9.06	16.49	0.75	4.02	6.24	10.45	6.97	0.76	4.87
MDN1	10.3	0	2.85	0	40.49	0	0	0	26.15	18.24	0	0	0
gpr173	10.59	6.54	0	0	0	1.38	0.9	0	0	0	0	0	2.24
MDN1	11.29	3.72	0	0	0	8.09	0	0	40	41.27	0	0	0
MDN1	29.64	2.98	7.7	22.72	28.51	7.4	90.28	37.72	59.35	39.26	117.78	7.64	4.09
MDN1	50.66	48.3	29.65	11.81	11.11	20.57	58.99	47.39	46.48	40.04	94.23	16.96	20.27
Lyrm2	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD6	26.16	21.31	2.39	6.63	6.39	10.78	2.36	8.37	5.63	15.98	56.59	17.55	4.6
L345_10156	0	0	0	0	0	0	0	0	0	0	0	0	0
SETD1A	15.55	2.81	0	18.18	6.26	0	0	3.46	0	7.47	22.15	9.65	5.78
SETD1A	3.14	0.58	1.87	12.16	0	6.88	33.49	3.71	27.62	1.71	0	2.97	2.39
SETD1A	2.58	0.58	0.38	17.09	0	10.84	8.64	5.05	14.92	4.01	0	1.49	1.2
PPP1R3F	60.76	37.12	15.94	5.48	0	7.75	0	3.93	13.31	13.77	0	16.05	2.21
liph-a	1.86	2.65	5.98	21.83	1.14	12.43	7.36	0.61	0	2.19	0	1.51	17.55
RBM11	27.34	8.35	8.38	2.73	0	3.08	16.34	29.5	16.6	47.51	0	28.51	48.92
HSPA13	61.77	0.82	11.39	30.25	19.74	12.28	16.48	9.07	13.68	51.34	44.47	5.96	2.25
SAMSN1	15.86	0.61	0	4.01	10.16	0	0	0	0	0	0	3.13	0
L345_10165	0	0	0	0	0	0	0	0	0	0	0	0	0
AXIN2	21.45	2.04	7.21	31.26	9.11	12.47	13.84	13.8	22.87	23.64	0	4.51	6.27
Fgf13	22.64	0	0	0	18.1	0	0	0	0	9.7	0	32.72	0
rsp-7	0	0	0	0	0	0	0	0	0	0	0	0	0
nop58	0	0	0	0	0	0	0	0	0	0	0	0	0
ZIC2	1.77	1.06	0	0	0	0	0	0	0	0	0	0	0
L345_01023	0	0	0	0	0	0	0	0	0	0	0	0	0
L345_10176	0	0	0	0	0	0	0	0	0	0	0	0	0
L345_10178	0	0	0	0	0	0	0	0	0	0	0	0	0
L345_10180	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM25	0	0	0	0	0	0	0	0	0	0	0	0	0
L345_10171	0	0	0	0	0	0	0	0	0	0	0	0	0
Tm9sf2	97.41	94.34	53.38	70.58	41.21	64.29	73.52	71.16	115.6	110.67	21.29	22.12	23.26
RBMX	90.28	71.87	29.66	40.71	44.6	38.51	241.77	208.73	233.49	70.72	71.7	55	78.93
ARHGEF6	4.36	1.62	1.78	8.29	0.3	10.55	0	3.43	11.44	11.09	7.96	8.06	0.63
CD40LG	0.21	3.46	0	0	0	0	0	0	0	0	0	0	0.59
VGLL1	0.74	4.89	43.41	461.99	259.15	403.31	69.92	126.76	95.6	55.91	30.58	0	0
PPP1R3A	28.29	1.95	5.97	1.46	0	4.56	4.04	1.12	4.03	3.85	0	6.23	1
L345_10182	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1A	2.05	0	0	0	0	0	0.42	0	0	0	0	0	3.68
Pkp3	9.24	76.1	97.55	471.17	193.2	370.14	129.57	309.73	255.04	193.09	121.8	91.44	23.31
CYLC2	0	0	0	0	0	0	0	0	0	0	0	0	0
SFT2D1	18.58	21.19	11.4	5.47	0	0	0	4.17	4.15	10.11	0	19.11	16.13
T	0	0	0	0	0	0	0	0	0	0	0	0	11.69
SGCZ	0	0	0	0	0	0	0	0	0	0	0	0	17.18
ECI2	21.58	36.1	64.75	36.31	17.69	11.71	16.98	32.4	22.91	31.54	57.82	101.42	76.56
L345_10193	3.57	3.88	2.5	2.76	0	1.3	3.77	6.3	9.81	1.51	0	13.91	171.68
L345_10191	0.32	1.16	0	0.2	0	0	0	0.15	0.33	0.67	0	0	59.74
FOXP3	2.36	2.51	0.81	0.73	0	0	0	0	0	0	0	1.07	6.03
PRPF4B	92.38	24.99	18.96	46.16	27.96	37.99	95.98	40.52	84.99	41.93	74.27	27.14	10.75
L345_10189	12.49	1.38	23.05	58.52	56.36	36.7	31.29	17.87	32.96	22.68	0	8.21	1.57
SLC22A23	4.12	2.04	0	23.85	7.61	26.07	0	2.27	0	24.5	0	0.87	0
VTI1B	227.91	66.47	140.59	145.89	28.73	59.19	85.07	69.42	77.01	64.16	23.68	62.67	66.26
ARG2	132.17	22.17	0.96	507.55	4.68	132.31	50.75	8.07	8.2	9.35	24.47	11.61	15.1
PIGH	35	8.12	11.96	2.77	0	1.47	6.68	4.23	3.18	10.25	8.85	12.36	12.7
DUSP14	4.1	1.96	1.37	2.3	0	2.26	0.56	1.07	2.46	0.82	0	2.23	55.21
Hirip3	1.94	0.62	1	6.4	0	1.33	27.18	6.02	19.34	4.64	25.13	0	10.41
INO80E	53.47	138.59	107.13	119.74	139.7	153.32	182.52	295.27	267.79	48.7	53.01	82.04	52.96
Doc2b	7.87	11.19	0	0	0	0	0	0	1.95	4.72	19.58	0	20.06
L345_00104	0	0	0	0	0	0	0	0	0	0	0	0	0
ccdc22	10.12	7.77	9.31	5.5	1.94	5.83	9.24	11.7	10.47	9.23	9.89	4.8	56.95
L345_10201	1.82	1.38	0.3	2.76	0	1.56	0	0	0	2.27	0	0	8.8
VWC2	3.2	0.35	0	0	0	0	0	0	0	0	0	0	0
ZPBP	0.32	0.65	0	0.39	0	0	0	0	0	0	0	1.11	441.52
L345_10204	1.91	0	0	0	0	0	0	0	0	0	0	0	22.95
WDR37	21.45	0.86	0.55	3.35	4.44	5.47	3.57	3.54	3.56	8.9	0	4.74	3.81
IDI1	101.03	207.43	92.47	100.98	93.07	96.57	232.18	180.56	206.9	135.77	106.33	60.18	74.21
Gtpbp4	249.51	248.43	880.83	384.06	513.99	455.46	1093.8	1458.64	1401.82	406.94	564.63	1367.84	521.71
exgD	0	0	0	0	0	0	0	0	0	0	0	0	0
L345_10209	24.4	4.27	11.13	0	0	0	0	8.28	0	0	0	14.72	5.87
PCDH9	10.83	0	0	0	0	0	0	0	0	0	0	0	0
Cacna1f	44.26	1.79	0.06	0.23	0	0	0	0	0	2.75	0.89	0.48	5.21
L345_10210	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdk3	150.44	53.79	74.5	36.82	20.09	35.84	63.31	31.95	49.87	43.14	23.14	50.55	43.7
CNGB1	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc8a	28.06	1.85	3.23	11.89	7.62	5	4.92	6.61	6.9	24.28	35.52	3.83	1.99
phyhd1	45.38	3.36	83.41	37.75	60.06	52.17	35.83	77.05	33.97	4.74	10.32	1.63	6.24
DOLK	31.75	120.54	11.22	16.68	12.29	13.66	21.3	15.38	6.06	31.01	33.78	28.76	67.08
NUP188	9.28	5.77	4.74	8.35	4.88	6.71	7.57	17.64	21.16	13.46	0	4.39	25.22
SH3GLB2	6.5	4.12	2.66	4.57	0	0.99	1.94	5.36	9.14	19.08	14.36	2.51	17.33
fam73b	11.37	1.55	1.75	4.68	0	0	3.89	2.32	9.32	2.31	0	5.94	4.77
DOLPP1	15.62	46.62	7.09	35.5	30.01	24.44	8.48	44.48	26.27	53.17	67.22	7.03	10.33
Syp	1054.61	59.86	1.16	1.07	0	0	0	2.18	0	24.68	14.59	26.53	5.33
CRAT	7.23	2.3	4.94	15.88	47.49	12.81	0	3.11	11.76	6.71	20.74	10.45	16.25
CRAT	1.1	0	1.65	11.09	48.85	11.66	25.29	7.39	37.28	13.67	0	4.36	1.74
Rrbp1	0	0	0	0	0	0	0	0	0	0	0	0	0
L345_10227	19.45	3.81	5.52	27.24	23.49	27.92	2.04	1.82	0.98	2.46	0	2.71	2.38
EXOSC3	61.59	118.25	49.41	72.78	75.03	51.34	85.08	177.59	141.83	61.68	66.13	51.3	65.05
DYDC2	25.84	1.15	1.49	0.67	0	0	0	0	0	0	0	0	63.16
DYDC1	1.19	5.11	0	2.21	0	0	0	0	0	1.21	44.47	1.09	1627.31
Mat1a	26.31	5.01	26.78	26.75	45.18	34.43	10.79	14.2	20.24	15.31	1.54	31.58	1.03
SFTPD	0.31	1004.66	0.54	5.78	4.32	1.07	9.04	14.35	0.38	15879.53	1314.04	2.49	147.16
L345_10230	0	0	0	0	0	0	0	0	0	0	0	0	0
Rtl1	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD28	13.02	4.13	3.19	7.56	3.71	7.43	19.99	5.61	13.49	12.76	13.52	7.87	8.14
Btd	13.34	10.62	8.55	5.43	10.82	13.65	26.78	13.78	26.5	21.46	0	35.34	9.54
HACL1	11.74	0	21.41	17.83	21.5	18.73	26.98	10.19	6.65	0	0	23.6	33.94
SNX7	29.01	43.45	20.04	25.8	29.3	26.42	51.59	23.72	35.4	16.57	69.75	26.51	11.15
CDK5RAP2	4.45	1.57	0.86	1.91	5	4.25	7.97	2.8	4.4	0.9	0	2.86	196.22
L345_10236	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp2a1	1.56	0.66	0	0.67	0	0	0	0	0	9.73	11.09	1.32	4.69
DNAH2	1.03	3.52	0	0	0	0	0	0.32	0	4.81	0	1.8	131.1
L345_10239	24.64	11.68	7.63	0	0	0	55.21	8.58	0	0	0	5.05	60.24
L345_10240	11	0	4.03	9.51	2.65	9.34	3.4	6.61	4.42	33.97	0	8.89	0.95
LHP1	0	0	0	0	0	0	0	0	0	0	0	0	0
NDST3	5.96	0.35	0.45	0	0	0	0	0	0	0	12	0	8.66
dotA	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpgrip1	0	0	0	0	0	0	0	0	0	0	0	0	0
SNX19	47.89	10.42	6.06	3.18	0.26	4.67	1.02	7.26	2.25	10.84	12.58	2.56	2.06
HMGN5	0	0	0	0	0	0	0	0	0	0	0	0	0
L345_10246	1.03	28.39	0.97	3.42	0	2.41	0	0	0	2.81	123.9	0	250.83
ERICH1	5.25	0	1.79	1.24	0	0	10.21	2.52	0	0	0	0.59	1.43
CALD1	21.52	1.58	2.04	15.84	6.25	6.05	22.26	5.98	14.39	57.93	38.99	14.26	4.03
mrps15	212.24	1109.72	198.23	140.29	59.96	187.59	308.18	392.69	296.52	150.93	190.92	557.2	459.48
CNFN	3.08	1.48	0.96	0	0	0	0	0	0	0	0	0	0
Pnpla2	8.2	0	0	1.58	0	0	0	0.34	0	18.59	0	0.32	7.43
OSCP1	94.3	366.2	19.28	19.3	12.4	23.04	12.49	12.79	25.34	33.35	119.4	47.81	202.54
LSM10	43.91	141.58	105.25	61.25	0	39.64	0	93.51	159.54	181.3	0	49.04	45.46
STK40	19.24	15.01	11.88	11.2	7.44	9.24	9.36	9.4	17.76	29.55	13.65	11.54	52.02
