gene0	NDEL1
gene215	GMFB
gene216	CGRRF1
gene217	SAMD4A
gene218	GCH1
gene219	WDHD1
gene220	SOCS4
gene221	MAPK1IP1L
gene222	DLGAP5
gene223	Imp3
gene224	FBXO34
gene225	ATG14
gene226	ACTR10
gene227	L345_00224
gene228	Slc35f4
gene229	Pik3c2a
gene230	PLEKHA7
gene231	SMAP
gene232	PDE4B
gene233	KEAP1
gene234	MAST1
gene235	nfil3
gene236	nfil3
gene237	Surf4
gene238	CCDC130
gene239	L345_00233
gene240	Zswim4
gene241	L345_00236
gene242	L345_00241
gene243	SPAG1
gene244	RNF19A
gene245	SNX31
gene246	PABPC3
gene247	YWHAZ
gene248	L345_00251
gene249	ZNF706
gene250	GRHL2
gene251	NCALD
gene252	RRM2B
gene253	UBR5
gene254	ODF1
gene255	KLF10
gene256	AZIN1
gene257	L345_00255
gene258	atp6v1c1
gene259	BAALC
gene260	FZD6
gene261	Cthrc1
gene262	SLC25A32
gene263	DCAF13
gene264	RIMS2
gene265	RIMS2
gene266	TM7SF4
gene267	DPYS
gene268	LRP12
gene269	L345_00270
gene270	ATG101
gene271	ATP5B
gene272	Baz2a
gene273	L345_00274
gene274	RBMS2
gene275	GLS2
gene276	Spryd4
gene277	L345_00277
gene278	Timeless
gene279	APOF
gene280	STAT2
gene281	PAN2
gene282	slc39a10
gene283	ankrd52
gene284	L345_00285
gene285	L345_00286
gene286	L345_00290
gene287	POU3F3
gene288	Mrps9
gene289	TGFBRAP1
gene290	L345_00293
gene291	FHL2
gene292	NCK2
gene293	L345_00292
gene294	UXS1
gene295	ST6GAL2
gene296	stk10
gene297	Sh3pxd2b
gene298	SH3PXD2B
gene299	NEURL1B
gene300	DUSP1
gene301	ERGIC1
gene302	RPL26
gene303	ATP6V0E1
gene304	L345_00304
gene305	Bnip1
gene306	NKX-2.5
gene307	STC2
gene308	Bod1
gene309	FBXO15
gene310	L345_00311
gene311	CYB5A
gene312	L345_00313
gene313	FAM69C
gene314	CNDP2
gene315	ZNF407
gene316	L345_00315
gene317	ZNF407
gene318	L345_00319
gene319	L345_00321
gene320	L345_00320
gene321	L345_00322
gene322	STXBP2
gene323	Pcp2
gene324	L345_00326
gene325	Xab2
gene326	CAMSAP3
gene327	GPR180
gene328	TGDS
gene329	DCT
gene330	GPC6
gene331	Srcin1
gene332	L345_00341
gene333	SRCIN1
gene334	Arhgap23
gene335	ARHGAP23
gene336	ARHGAP23
gene337	Socs7
gene338	Gpr158
gene339	traf3ip1
gene340	Mrpl45
gene341	CDK5R1
gene342	Hexim1
gene343	ACBD4
gene344	PLCD1
gene345	NMT1
gene346	dcakd
gene347	C1QL1
gene348	KIF18B
gene349	Gfap
gene350	FAM187A
gene351	Ccdc103
gene352	EFTUD2
gene353	GJC1
gene354	GRN
gene355	L345_00354
gene356	Itga8
gene357	ITGA8
gene358	ITGA2B
gene359	Itga2b
gene360	GPATCH8
gene361	GPATCH8
gene362	Otx2
gene363	Exoc5
gene364	MUDENG
gene365	NAA30
gene366	L345_00370
gene367	Slc35f4
gene368	MRPS34
gene369	shisa9
gene370	L345_00371
gene371	TGFBR2
gene372	OSBPL11
gene373	gpd1l
gene374	Lmln
gene375	PARP14
gene376	DTX3L
gene377	PARP9
gene378	BMP5
gene379	COL21A1
gene380	DST
gene381	FUT8
gene382	C1QTNF4
gene383	NDUFS3
gene384	Kbtbd4
gene385	PTPMT1
gene386	CELF1
gene387	Psmc3
gene388	tmem178
gene389	SLC39A13
gene390	SPI1
gene391	MYBPC3
gene392	L345_00393
gene393	PTGFRN
gene394	MEIS1
gene395	MEIS1
gene396	SPRED2
gene397	L345_00398
gene398	L345_00399
gene399	L345_00400
gene400	L345_00401
gene401	L345_00402
gene402	BTAF1
gene403	cpeb3
gene404	Mar-05
gene405	IDE
gene406	Kif11
gene407	Hhex
gene408	EXOC6
gene409	CYP26A1
gene410	Srst
gene411	Dcdc2c
gene412	COLEC11
gene413	rps7
gene414	RNASEH1
gene415	ADI1
gene416	Ttc15
gene417	TSSC1
gene418	L345_00419
gene419	L345_00422
gene420	MYT1L
gene421	Pxdn
gene422	L345_00424
gene423	TPO
gene424	FGFR4
gene425	ZNF346
gene426	UIMC1
gene427	HK3
gene428	Unc5a
gene429	ACOT7
gene430	PXR1
gene431	CXCR4
gene432	Dars
gene433	Arhgap39
gene434	COL11A1
gene435	OLFM2
gene436	SPON1
gene437	Eln
gene438	L345_00440
gene439	Map7d1
gene440	LIMK1
gene441	Sep-04
gene442	VPS37D
gene443	Dnajc30
gene444	Mlxipl
gene445	MLXIPL
gene446	STX1A
gene447	WBSCR22
gene448	Tbl2
gene449	BCL7B
gene450	MKS1
gene451	FSIP2
gene452	BAZ1B
gene453	Fzd9
gene454	FKBP6
gene455	Trim50
gene456	NSUN5
gene457	POM121
gene458	Hip1
gene459	CCL4L1
gene460	L345_00461
gene461	ANAPC1
gene462	L345_00465
gene463	L345_00466
gene464	L345_00467
gene465	Bcl2l11
gene466	GADD45G
gene467	SEMA4D
gene468	SECISBP2
gene469	Shc3
gene470	S1PR3
gene471	PPP1R21
gene472	L345_00473
gene473	DNAH6
gene474	LNP
gene475	EVX2
gene476	HOXD13
gene477	HOXD3
gene478	Hoxd1
gene479	MTX2
gene480	Hnrnpa3
gene481	Nfe2l2
gene482	SCARA5
gene483	tolA
gene484	CCDC164
gene485	Otof
gene486	L345_00483
gene487	CIB4
gene488	KCNK3
gene489	Kcnk3
gene490	L345_00491
gene491	L345_00492
gene492	L345_00493
gene493	L345_00494
gene494	SLC5A9
gene495	Spata6
gene496	AGBL4
gene497	L345_00498
gene498	Zc3h12c
gene499	RDX
gene500	FDX1
gene501	ARHGAP20
gene502	RNF17
gene503	Rnf17
gene504	CENPJ
gene505	MPHOSPH8
gene506	PSPC1
gene507	ZMYM2
gene508	L345_00515
gene509	GJB6
gene510	Cryl1
gene511	Ift88
gene512	IL17D
gene513	XPO4
gene514	LATS2
gene515	POC1A
gene516	ALAS1
gene517	Hyal2
gene518	TWF2
gene519	Ppm1m
gene520	WDR82
gene521	L345_00522
gene522	Glyctk
gene523	KLHL17
gene524	Dnah1
gene525	F2
gene526	ZNF408
gene527	Arhgap1
gene528	Atg13
gene529	HARBI1
gene530	Ambra1
gene531	CHRM4
gene532	mdk-a
gene533	DGKZ
gene534	L345_00538
gene535	CREB3L1
gene536	L345_00536
gene537	CXADR
gene538	Rc3h1
gene539	L345_00548
gene540	gacO
gene541	Rabgap1
gene542	CACYBP
gene543	MRPS14
gene544	Tnn
gene545	L345_00543
gene546	L345_00544
gene547	TNR
gene548	L345_00549
gene549	EVI5
gene550	L345_00551
gene551	RPL5
gene552	FAM69A
gene553	AGL
gene554	frrs1
gene555	palmd
gene556	LPPR4
gene557	LPPR5
gene558	LPHN2
gene559	ENPP7
gene560	CBX2
gene561	Cbx8
gene562	Cbx4
gene563	TBC1D16
gene564	GAA
gene565	SGSH
gene566	Slc26a11
gene567	L345_00565
gene568	SRP40
gene569	L345_00570
gene570	Bin3
gene571	Srst
gene572	L345_00585
gene573	NST1
gene574	Bin3
gene575	L345_00580
gene576	GSTM2
gene577	AMPD2
gene578	GNAT2
gene579	GNAI3
gene580	GPR61
gene581	AMIGO1
gene582	CYB561D1
gene583	ATXN7L2
gene584	SYPL2
gene585	PSMA5
gene586	RIMBP2
gene587	L345_00587
gene588	AKAP13
gene589	KLHL25
gene590	AGBL1
gene591	PKN2
gene592	L345_00593
gene593	Ddx39a
gene594	CD97
gene595	Svep1
gene596	LPHN2
gene597	LPHN1
gene598	ASF1B
gene599	PRKACA
gene600	uafA
gene601	algP
gene602	CYR61
gene603	lrrc8e
gene604	Map2k7
gene605	EVI5L
gene606	PXR1
gene607	gata5-a
gene608	LHFPL4
gene609	LHFPL4
gene610	MTMR14
gene611	CPNE9
gene612	BRPF1
gene613	ERBB4
gene614	PXR1
gene615	BDNF
gene616	LIN7C
gene617	LGR4
gene618	CCDC34
gene619	Bbox1
gene620	Fez2
gene621	CRIM1
gene622	L345_00623
gene623	NNT
gene624	PAIP1
gene625	L345_00630
gene626	L345_00628
gene627	CCL28
gene628	HMGCS1
gene629	NIM1
gene630	ZNF131
gene631	SEPP1
gene632	CCDC152
gene633	GHR
gene634	L345_00635
gene635	Six6
gene636	PPM1A
gene637	DHRS7
gene638	L345_00645
gene639	L345_00646
gene640	Lrrc9
gene641	RTN1
gene642	JKAMP
gene643	FPP1
gene644	L345_00641
gene645	Gpr135
gene646	DAAM1
gene647	KCNK16
gene648	DACT1
gene649	DACT1
gene650	L345_00659
gene651	L345_00656
gene652	TIMM9
gene653	tomm20
gene654	ARID4A
gene655	Psma3
gene656	KTN1
gene657	L345_00652
gene658	PELI2
gene659	L345_00660
gene660	Sdpr
gene661	OBFC2A
gene662	TSSK6
gene663	TSSK6
gene664	MACROD2
gene665	MYO1B
gene666	Ebf1
gene667	EBF3
gene668	GLRX3
gene669	L345_00670
gene670	KCNJ13
gene671	GCFC1
gene672	L345_00672
gene673	L345_00677
gene674	URB1
gene675	MRAP
gene676	MIS18A
gene677	Hunk
gene678	Scaf4
gene679	L345_00679
gene680	TIAM1
gene681	CLDN8
gene682	Grik1
gene683	BACH1
gene684	Tak1l
gene685	CCT8
gene686	USP16
gene687	RWDD2B
gene688	ltn1
gene689	N6AMT1
gene690	mtrC
gene691	ATF7IP
gene692	Grin2b
gene693	GRIN2B
gene694	L345_00695
gene695	ZG16
gene696	Phrf1
gene697	RASSF8
gene698	Ifltd1
gene699	Lrrc56
gene700	HRAS1
gene701	Usp6nl
gene702	Rnh1
gene703	CHKA
gene704	CHKA
gene705	SUV420H1
gene706	L345_00709
gene707	L345_00703
gene708	Srst
gene709	LRP5
gene710	KCNJ6
gene711	dyrk1a
gene712	L345_00719
gene713	DSCR3
gene714	Ttc3
gene715	Ttc3
gene716	Pigp
gene717	HLCS
gene718	Sim2
gene719	L345_00720
gene720	L345_00721
gene721	Sult2b1
gene722	CA11
gene723	Ntn1
gene724	Izumo1
gene725	MYOCD
gene726	RASIP1
gene727	FAM71B
gene728	Spag9
gene729	TMEM238
gene730	IL11
gene731	gsg1l
gene732	L345_00728
gene733	Rpl28
gene734	L345_00724
gene735	ube2s
gene736	L345_00742
gene737	Dusp12
gene738	FAM46C
gene739	GDAP2
gene740	Wdr3
gene741	SPAG17
gene742	L345_00743
gene743	FJX1
gene744	LDLRAD3
gene745	Ldlrad3
gene746	COMMD9
gene747	L345_00748
gene748	L345_00749
gene749	Tgfbr3
gene750	BRDT
gene751	EPHX4
gene752	L345_00751
gene753	L345_00753
gene754	Glmn
gene755	RPAP2
gene756	GFI1
gene757	EVI5
gene758	Gas6
gene759	FAM70B
gene760	Atp4b
gene761	TFDP1
gene762	Tmco3
gene763	adprhl1
gene764	Grtp1
gene765	LAMP1
gene766	Pcid2
gene767	F10
gene768	Mcf2l
gene769	ATP11A
gene770	TUBGCP3
gene771	L345_00772
gene772	Lrrc15
gene773	TMEM125
gene774	WDR65
gene775	pif1
gene776	L345_00784
gene777	SNAPC2
gene778	ZPBP2
gene779	Kcna3
gene780	KCNA2
gene781	KCNA10
gene782	EMR3
gene783	PGA
gene784	PROK1
gene785	SLC16A4
gene786	L345_00788
gene787	RBM15
gene788	PTPRG
gene789	PTPRG
gene790	L345_00790
gene791	FEZF2
gene792	cadps
gene793	Cadps
gene794	cadps
gene795	dotA
gene796	Ankh
gene797	L345_00798
gene798	Fbxl7
gene799	Mar-11
gene800	ZNF622
gene801	L345_00804
gene802	L345_00806
gene803	UBN2
gene804	Ttc26
gene805	GUCY2C
gene806	L345_00807
gene807	L345_00808
gene808	TXNDC12
gene809	BTF3L4
gene810	ZFYVE9
gene811	cc2d1b
gene812	PRPF38A
gene813	Zcchc11
gene814	GPX7
gene815	SLC26A8
gene816	FAM159A
gene817	selrc1
gene818	ZYG11B
gene819	ECHDC2
gene820	ECHDC2
gene821	Apeh
gene822	MST1
gene823	IFRD2
gene824	L345_00826
gene825	Hyal3
gene826	NAT6
gene827	HYAL1
gene828	HYAL2
gene829	TUSC2
gene830	Rassf1
gene831	RASSF1
gene832	RCN1
gene833	L345_00834
gene834	L345_00835
gene835	TMEM175
gene836	MYL5
gene837	ATP5I
gene838	PDE6B
gene839	L345_00838
gene840	L345_00847
gene841	Idua
gene842	Slc26a1
gene843	PRC1
gene844	Dgkq
gene845	mfsd7-A
gene846	PCGF3
gene847	L345_00848
gene848	L345_00849
gene849	CIRBP
gene850	Dos
gene851	RUNDC3A
gene852	slc25a40
gene853	MAPT
gene854	L345_00858
gene855	L345_00856
gene856	L345_00861
gene857	CDC27
gene858	MYL4
gene859	CACNB1
gene860	RPL19
gene861	MYH9
gene862	Foxred2
gene863	CACNG2
gene864	IFT27
gene865	NCF4
gene866	CSF2RB
gene867	Tst
gene868	MPST
gene869	KCTD17
gene870	Tmprss6
gene871	IL2RB
gene872	CXXC5
gene873	PCM1
gene874	FGL1
gene875	mtus1
gene876	MTUS1
gene877	PDGFRL
gene878	SLC7A2
gene879	MTMR7
gene880	VPS37A
gene881	CNOT7
gene882	Zdhhc2
gene883	EFHA2
gene884	YAP1
gene885	L345_00892
gene886	TMEM9
gene887	L345_00896
gene888	L345_00890
gene889	L345_00886
gene890	IGFN1
gene891	Pkp1
gene892	TNNT2
gene893	LARP6
gene894	rprml
gene895	ITGB3
gene896	Kdm4c
gene897	GLDC
gene898	UHRF2
gene899	RP1
gene900	Sox17
gene901	MRPL15
gene902	Lypla1
gene903	TCEA1
gene904	RGS20
gene905	ATP6V1H
gene906	OPRK1
gene907	L345_00905
gene908	KERA
gene909	LUM
gene910	TFEB
gene911	MDFI
gene912	FOXP4
gene913	Trem2
gene914	FANCE
gene915	mkrn1
gene916	PPARD
gene917	L345_00924
gene918	DEF6
gene919	ZNF76
gene920	SCUBE3
gene921	TCP11
gene922	TCP11
gene923	ANKS1A
gene924	PRPSAP1
gene925	QRICH2
gene926	L345_00935
gene927	L345_00936
gene928	L345_00933
gene929	RNF157
gene930	foxj1-b
gene931	EXOC7
gene932	ZACN
gene933	Galr2
gene934	SRP68
gene935	EVPL
gene936	BFSP1
gene937	PCSK2
gene938	infB
gene939	Snrpb2
gene940	KIF16B
gene941	Ppp1r9b
gene942	Pdk2
gene943	Itga3
gene944	CREBL2
gene945	crebl2
gene946	DLX3
gene947	BOX5
gene948	GADD45GIP1
gene949	ttc39a
gene950	Rad23a
gene951	CALR
gene952	farsa
gene953	L345_00955
gene954	SYCE2
gene955	GCDH
gene956	Klf2
gene957	mtus1a
gene958	DNASE2
gene959	SMARCA4
gene960	L345_00961
gene961	SUFU
gene962	ACTR1A
gene963	TMEM180
gene964	L345_00962
gene965	L345_00968
gene966	SEMA4G
gene967	MRPL43
gene968	PEO1
gene969	lzts2
gene970	PDZD7
gene971	Sfxn3
gene972	KAZALD1
gene973	KAZALD1
gene974	TLX1
gene975	Lbx1
gene976	ANO7
gene977	PPP1R7
gene978	PASK
gene979	MTERFD2
gene980	SNED1
gene981	CROCC
gene982	L345_00983
gene983	SRBD1
gene984	PRKCE
gene985	PRKCE
gene986	Gria1
gene987	LONRF3
gene988	exoc6
gene989	L345_00990
gene990	L345_00992
gene991	Unc13c
gene992	runx1
gene993	CLIC6
gene994	RCAN1
gene995	KCNE1
gene996	L345_00997
gene997	L345_00995
gene998	MRPS6
gene999	SLC5A3
gene1000	ATP5O
gene1001	ITSN1
gene1002	CRYZL1
gene1003	Donson
gene1004	SON
gene1005	GART
gene1006	purD
gene1007	L345_01011
gene1008	Glcci1
gene1009	Ica1
gene1010	NXPH1
gene1011	SMC1A
gene1012	RIBC1
gene1013	HSD17B10
gene1014	Tspyl2
gene1015	gpr173
gene1016	PPP1R3F
gene1017	L345_01023
gene1018	PPP1R3A
gene1019	FOXP3
gene1020	ccdc22
gene1021	Cacna1f
gene1022	Syp
gene1023	Rtl1
gene1024	LHP1
gene1025	Pnpla2
gene1026	samm50
gene1027	PARVB
gene1028	L345_01029
gene1029	spa
gene1030	L345_01031
gene1031	BNC2
gene1032	GTF2A1L
gene1033	STON1
gene1034	PPP1R21
gene1035	FOXN2
gene1036	FBXO11
gene1037	MSH6
gene1038	Vgll4
gene1039	ATG7
gene1040	L345_01043
gene1041	PRKG1
gene1042	DKK1
gene1043	Srst
gene1044	Pcdh15
gene1045	PECAM1
gene1046	POLG2
gene1047	DDX5
gene1048	CEP95
gene1049	CEP95
gene1050	Cep95
gene1051	SMURF2
gene1052	Wipi1
gene1053	PRKAR1A
gene1054	FAM20A
gene1055	L345_01055
gene1056	L345_01057
gene1057	PCNXL2
gene1058	NTPCR
gene1059	L345_01061
gene1060	SIPA1L2
gene1061	GPD2
gene1062	NR4A2
gene1063	RD3
gene1064	TRAF5
gene1065	RCOR3
gene1066	Kcnh1
gene1067	KCNH1
gene1068	HHAT
gene1069	HHAT
gene1070	SERTAD4
gene1071	SYT14
gene1072	L345_01073
gene1073	H4-VIII
gene1074	L345_01083
gene1075	L345_01084
gene1076	FIZ1
gene1077	SACS
gene1078	L345_01085
gene1079	ZNF524
gene1080	znf865
gene1081	ZNF226
gene1082	CCDC106
gene1083	U2AF2
gene1084	Epn1
gene1085	Nefh
gene1086	IZUMO3
gene1087	Izumo2
gene1088	MYH10
gene1089	DBP
gene1090	SPHK2
gene1091	rpl18
gene1092	L345_01095
gene1093	Lpar1
gene1094	MUSK
gene1095	Svep1
gene1096	mns1
gene1097	MNS1
gene1098	ZNF280D
gene1099	TCF12
gene1100	CGNL1
gene1101	L345_01103
gene1102	GCOM1
gene1103	ALDH1A2
gene1104	AQP9
gene1105	LIPC
gene1106	ADAM10
gene1107	FAM63B
gene1108	sltm
gene1109	rnf111-a
gene1110	Myo1e
gene1111	Fam81a
gene1112	TBC1D2B
gene1113	Dapk2
gene1114	HERC1
gene1115	Fbxl22
gene1116	Usp3
gene1117	CA12
gene1118	RAB8B
gene1119	LACTB
gene1120	TPM1
gene1121	Tln2
gene1122	TLN2
gene1123	Tln2
gene1124	TLN2
gene1125	TLN2
gene1126	L345_01125
gene1127	VPS13C
gene1128	ZC3H13
gene1129	Rora
gene1130	RORA
gene1131	NARG2
gene1132	DOK5
gene1133	PFDN4
gene1134	CYP24A1
gene1135	BCAS1
gene1136	L345_01137
gene1137	L345_01138
gene1138	L345_01139
gene1139	L345_01140
gene1140	FAM5C
gene1141	L345_01142
gene1142	L345_01143
gene1143	MBIP
gene1144	BRMS1L
gene1145	RALGAPA1
gene1146	Insm2
gene1147	NFKBIA
gene1148	PSMA6
gene1149	L345_01154
gene1150	PPP2R3C
gene1151	L345_01151
gene1152	SRP54
gene1153	prmC
gene1154	BAZ1A
gene1155	Baz1a
gene1156	NUP37
gene1157	L345_01160
gene1158	CCDC53
gene1159	Dram1
gene1160	GNPTAB
gene1161	MYBPC1
gene1162	SPIC
gene1163	L345_01169
gene1164	Parp12
gene1165	TBXAS1
gene1166	HIPK2
gene1167	L345_01164
gene1168	ATP6V0A4
gene1169	Svopl
gene1170	L345_01163
gene1171	L345_01172
gene1172	L345_01173
gene1173	EPHA7
gene1174	EPHA7
gene1175	MGAT4C
gene1176	TEAD1
gene1177	Cldn23
gene1178	SGK223
gene1179	DCTN6
gene1180	RBPMS
gene1181	GTF2E2
gene1182	WRN
gene1183	PURG
gene1184	NFIL3
gene1185	Auh
gene1186	L345_01188
gene1187	L345_01187
gene1188	N4bp1
gene1189	SIAH1
gene1190	lonp2
gene1191	ABCC12
gene1192	Phkb
gene1193	ITFG1
gene1194	Neto2
gene1195	DNAJA2
gene1196	GPT2
gene1197	L345_01195
gene1198	MYLK3
gene1199	ORC6
gene1200	VPS35
gene1201	Hrh3
gene1202	HRH3
gene1203	SHCBP1
gene1204	Slit3
gene1205	STARD13
gene1206	RARS
gene1207	GPC1
gene1208	Ankmy1
gene1209	L345_01210
gene1210	CROCC
gene1211	L345_01212
gene1212	L345_01213
gene1213	FNDC3B
gene1214	GHSR
gene1215	TNFSF10
gene1216	NCEH1
gene1217	L345_01218
gene1218	MEIS2
gene1219	COL5A1
gene1220	SRSF5
gene1221	SMOC1
gene1222	Slc8a3
gene1223	SLC8A3
gene1224	COX16
gene1225	pppde1
gene1226	SYNJ2BP
gene1227	ADAM20
gene1228	MED6
gene1229	Ttc9
gene1230	Map3k9
gene1231	PCNX
gene1232	CCT6
gene1233	SUMF2
gene1234	PHKG1
gene1235	CHCHD2
gene1236	L345_01243
gene1237	L345_01245
gene1238	VKORC1L1
gene1239	GUSB
gene1240	ASL
gene1241	ASL2
gene1242	CRCP
gene1243	Tpst1
gene1244	RABGEF1
gene1245	NDUFS8
gene1246	Aldh3b1
gene1247	TCIRG1
gene1248	TBX10
gene1249	ACY3
gene1250	CABP4
gene1251	Coro1b
gene1252	PTPRCAP
gene1253	Rps6kb2
gene1254	RPS6KB2
gene1255	CARNS1
gene1256	L345_01254
gene1257	TBC1D10C
gene1258	PPP1CA
gene1259	RAD9A
gene1260	CLCF1
gene1261	GLYATL3
gene1262	COL4A1
gene1263	L345_01276
gene1264	Adarb1
gene1265	L345_01269
gene1266	ITGB2
gene1267	KMO
gene1268	L345_01272
gene1269	PCNT
gene1270	Rcbtb2
gene1271	RB1
gene1272	ITM2B
gene1273	NUDT15
gene1274	MED4
gene1275	SUCLA2
gene1276	ACTR3
gene1277	SLC35F5
gene1278	GPR39
gene1279	GPR39
gene1280	LYPD1
gene1281	L345_01283
gene1282	L345_01282
gene1283	ZNF608
gene1284	ZNF608
gene1285	ZNF608
gene1286	L345_01286
gene1287	L345_01288
gene1288	L345_01295
gene1289	Neurod2
gene1290	PPP1R1B
gene1291	L345_01297
gene1292	STARD3
gene1293	STARD3
gene1294	mreg
gene1295	TCAP
gene1296	PNMT
gene1297	PGAP3
gene1298	ERBB2
gene1299	Mien1
gene1300	GRB7
gene1301	PTPRD
gene1302	Grm1
gene1303	RAB32
gene1304	L345_01305
gene1305	STXBP5
gene1306	SAMD5
gene1307	F8
gene1308	PVRL3
gene1309	L345_01310
gene1310	L345_01311
gene1311	FOXO3
gene1312	slc16a10
gene1313	NAGLT1
gene1314	REV3L
gene1315	TRAF3IP2
gene1316	FYN
gene1317	TUBE1
gene1318	WISP3
gene1319	LAMA4
gene1320	ARL8B
gene1321	L345_01321
gene1322	Bhlhe40
gene1323	L345_01322
gene1324	ITPR1
gene1325	NID2
gene1326	L345_01327
gene1327	GNG2
gene1328	FRMD6
gene1329	HEATR7B2
gene1330	HEATR7B2
gene1331	CSNK1E
gene1332	KCNJ4
gene1333	Sdccag3
gene1334	KDELR3
gene1335	Ddx17
gene1336	L345_01335
gene1337	HTR1B
gene1338	IMPG1
gene1339	IMPG1
gene1340	IMPG1
gene1341	MYO6
gene1342	Senp6
gene1343	FILIP1
gene1344	FST
gene1345	NDUFS4
gene1346	Arl15
gene1347	Hspb3
gene1348	Snx18
gene1349	Cspg4
gene1350	ESM1
gene1351	Gzma
gene1352	GPX8
gene1353	IDAS
gene1354	CCNO
gene1355	DHX29
gene1356	Skiv2l2
gene1357	PPAP2A
gene1358	SLC38A9
gene1359	DDX4
gene1360	IL6ST
gene1361	Ankrd55
gene1362	Map3k1
gene1363	L345_01361
gene1364	MIER3
gene1365	GPBP1L1
gene1366	FOSL2
gene1367	FOSL2
gene1368	FOSL2
gene1369	BRE
gene1370	RBKS
gene1371	MRPL33
gene1372	WWP1
gene1373	ATP6V0D2
gene1374	CA2
gene1375	CA3
gene1376	Ca13
gene1377	L345_01375
gene1378	E2F5
gene1379	LRRCC1
gene1380	Slc7a13
